,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI
83,2010-05-04,CL,340627.0,221252.0,91964.0,1445326.0
84,2010-05-05,CL,333696.0,220356.0,98330.0,1443681.0
85,2010-05-06,CL,331817.0,233630.0,97524.0,1483173.0
86,2010-05-07,CL,328397.0,244232.0,97904.0,1474582.0
87,2010-05-10,CL,293209.0,272211.0,98276.0,1462043.0
88,2010-05-11,CL,261212.0,300111.0,102802.0,1470234.0
89,2010-05-12,CL,214648.0,338106.0,104243.0,1469845.0
90,2010-05-13,CL,185618.0,374665.0,103243.0,1482103.0
91,2010-05-14,CL,158173.0,379884.0,110029.0,1470927.0
92,2010-05-17,CL,138574.0,394192.0,112619.0,1472247.0
93,2010-05-18,CL,70231.0,392612.0,106000.0,1387907.0
94,2010-05-19,CL,35870.0,401003.0,109422.0,1370636.0
95,2010-05-20,CL,7267.0,398766.0,111137.0,1341592.0
96,2010-05-21,CL,397031.0,114362.0,98771.0,1344302.0
97,2010-05-24,CL,390449.0,114463.0,99081.0,1342554.0
98,2010-05-25,CL,388902.0,115305.0,98630.0,1345993.0
99,2010-05-26,CL,391418.0,121912.0,99365.0,1361060.0
100,2010-05-27,CL,381461.0,127796.0,101748.0,1361036.0
101,2010-05-28,CL,374848.0,129812.0,103561.0,1361943.0
102,2010-06-01,CL,370460.0,133953.0,104859.0,1367020.0
103,2010-06-02,CL,348406.0,132907.0,104700.0,1344865.0
104,2010-06-03,CL,343405.0,143382.0,106551.0,1352857.0
105,2010-06-04,CL,343960.0,135265.0,104730.0,1350312.0
106,2010-06-07,CL,314261.0,148721.0,109405.0,1341671.0
107,2010-06-08,CL,274957.0,160620.0,110771.0,1322308.0
108,2010-06-09,CL,235520.0,197709.0,119742.0,1333091.0
109,2010-06-10,CL,198103.0,231460.0,125999.0,1339118.0
110,2010-06-11,CL,156818.0,264158.0,133853.0,1339216.0
111,2010-06-14,CL,143248.0,278162.0,133526.0,1345031.0
112,2010-06-15,CL,132009.0,280652.0,134685.0,1336533.0
113,2010-06-16,CL,115107.0,285472.0,138891.0,1327007.0
114,2010-06-17,CL,77148.0,288807.0,139571.0,1296116.0
115,2010-06-18,CL,51860.0,295610.0,143033.0,1283497.0
116,2010-06-21,CL,23357.0,310548.0,143921.0,1271814.0
117,2010-06-22,CL,3080.0,314803.0,145958.0,1260132.0
118,2010-06-23,CL,317835.0,146736.0,57600.0,1260979.0
119,2010-06-24,CL,312805.0,148147.0,56657.0,1254722.0
120,2010-06-25,CL,309630.0,151097.0,55568.0,1253437.0
