,CO1 Comdty ,CO2 Comdty ,CO3 Comdty,S:COCO 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2010-11-12,160867.0,231759.0,47614.0,85154.0
2010-11-15,28407.0,170774.0,50904.0,20969.0
2010-11-16,198212.0,49321.0,22810.0,28945.0
2010-11-17,215567.0,74926.0,30228.0,41787.0
2010-11-18,183976.0,63610.0,37742.0,36141.0
2010-11-19,207656.0,76611.0,46767.0,44372.0
2010-11-22,148048.0,44730.0,23489.0,24012.0
2010-11-23,181850.0,69190.0,37840.0,40045.0
2010-11-24,184319.0,60593.0,33446.0,31124.0
2010-11-25,65176.0,22205.0,7419.0,16167.0
2010-11-26,114251.0,37901.0,13905.0,23949.0
2010-11-29,176881.0,69665.0,33803.0,38296.0
