,HO1,HO2,HO3,HO1 R:02_0_D,HO2 R:02_0_D,HO3 R:02_0_D,.HOCOMN,.HOCOML,.HOCOMS,.HOMMN,.HOMML,.HOMMS
2010-01-04,219.05,219.26,219.12,-91.82,66.0,109.83,,,,,,
2010-01-05,219.41,220.07,219.96,-91.46,66.81,110.67,-143349.0,90015.0,233364.0,46774.0,66617.0,19843.0
2010-01-06,220.32,221.35,221.55,-90.55,68.09,112.26,,,,,,
2010-01-07,218.36,219.46,219.75,-92.51,66.2,110.46,,,,,,
2010-01-08,220.03,220.69,220.83,-90.84,67.43,111.54,,,,,,
2010-01-11,218.01,218.95,219.28,-92.86,65.69,109.99,,,,,,
2010-01-12,213.18,214.17,214.53,-97.69,60.91,105.24,-141146.0,98225.0,239371.0,45837.0,66680.0,20843.0
2010-01-13,209.46,210.49,210.92,-101.41,57.23,101.63,,,,,,
2010-01-14,208.29,209.21,209.76,-102.58,55.95,100.47,,,,,,
2010-01-15,204.6,205.79,206.44,-106.27,52.53,97.15,,,,,,
2010-01-19,204.54,205.9,206.76,-106.33,52.64,97.47,-129813.0,93966.0,223779.0,35681.0,55230.0,19549.0
2010-01-20,202.11,203.44,204.25,-108.76,50.18,94.96,,,,,,
2010-01-21,198.56,199.75,200.4,-112.31,46.49,91.11,,,,,,
2010-01-22,194.16,195.3,195.96,-116.71,42.04,86.67,,,,,,
2010-01-25,196.58,197.5,198.02,-114.29,44.24,88.73,,,,,,
2010-01-26,195.08,196.16,196.79,-115.79,42.9,87.5,-122456.0,97617.0,220073.0,25938.0,51051.0,25113.0
2010-01-27,191.68,192.67,193.34,-119.19,39.41,84.05,,,,,,
2010-01-28,191.91,192.9,193.52,-118.96,39.59,84.15,,,,,,
2010-01-29,190.29,191.3,191.94,-120.56,38.01,82.43,,,,,,
2010-02-01,195.49,196.05,196.69,-116.37,42.12,86.45,,,,,,
2010-02-02,203.17,203.79,204.41,-108.69,49.86,94.17,-117634.0,99092.0,216726.0,21841.0,49056.0,27215.0
2010-02-03,201.94,202.71,203.48,-109.92,48.78,93.24,,,,,,
2010-02-04,193.52,194.26,195.05,-118.34,40.33,84.81,,,,,,
2010-02-05,187.48,188.28,189.16,-124.38,34.35,78.92,,,,,,
2010-02-08,188.55,189.34,190.28,-123.31,35.41,80.04,,,,,,
2010-02-09,193.73,194.44,195.33,-118.13,40.51,85.09,-112615.0,103992.0,216607.0,15018.0,41871.0,26853.0
2010-02-10,194.69,195.42,196.25,-117.17,41.49,86.01,,,,,,
2010-02-11,196.3,197.12,197.97,-115.56,43.19,87.73,,,,,,
2010-02-12,191.89,192.88,193.97,-119.97,38.95,83.73,,,,,,
2010-02-16,199.63,200.59,201.61,-112.23,46.66,91.37,-112128.0,96347.0,208475.0,16515.0,42095.0,25580.0
2010-02-17,200.67,201.68,202.65,-111.19,47.75,92.41,,,,,,
2010-02-18,205.16,206.22,207.13,-106.7,52.29,96.89,,,,,,
2010-02-19,206.99,207.94,208.72,-104.87,54.01,98.48,,,,,,
2010-02-22,207.88,208.82,209.7,-103.98,54.89,99.46,,,,,,
2010-02-23,203.23,204.26,205.35,-108.63,50.33,95.11,-127593.0,90715.0,218308.0,28036.0,49595.0,21559.0
2010-02-24,204.21,205.39,206.77,-107.65,51.46,96.53,,,,,,
2010-02-25,198.62,199.86,201.29,-113.18,45.98,91.04,,,,,,
2010-02-26,202.49,203.53,204.88,-109.51,49.57,94.58,,,,,,
2010-03-01,202.35,203.48,204.83,-110.69,48.17,93.0,,,,,,
2010-03-02,205.61,206.66,207.83,-107.43,51.35,96.0,-125341.0,91947.0,217288.0,24052.0,48872.0,24820.0
2010-03-03,209.37,210.37,211.46,-103.67,55.06,99.63,,,,,,
2010-03-04,206.87,208.14,209.46,-106.17,52.83,97.63,,,,,,
2010-03-05,209.74,211.04,212.35,-103.3,55.73,100.52,,,,,,
2010-03-08,210.55,211.94,213.37,-102.49,56.63,101.54,,,,,,
2010-03-09,208.98,210.26,211.65,-104.06,54.95,99.82,-126534.0,108968.0,235502.0,24523.0,51192.0,26669.0
2010-03-10,211.62,212.77,214.01,-101.42,57.46,102.18,,,,,,
2010-03-11,211.5,212.58,213.73,-101.54,57.27,101.9,,,,,,
2010-03-12,209.4,210.54,211.76,-103.64,55.23,99.93,,,,,,
2010-03-15,205.76,206.92,208.15,-107.28,51.61,96.32,,,,,,
2010-03-16,211.43,212.53,213.57,-101.61,57.22,101.74,-126382.0,120539.0,246921.0,23283.0,53084.0,29801.0
2010-03-17,213.95,215.13,216.33,-99.09,59.82,104.5,,,,,,
2010-03-18,211.91,213.29,214.79,-101.13,57.98,102.96,,,,,,
2010-03-19,207.67,208.91,210.36,-105.37,53.6,98.53,,,,,,
2010-03-22,208.37,209.79,211.29,-104.67,54.48,99.46,,,,,,
2010-03-23,210.18,211.43,212.74,-102.86,56.12,100.91,-123422.0,122725.0,246147.0,20873.0,49165.0,28292.0
2010-03-24,207.07,208.35,209.74,-105.97,53.04,97.91,,,,,,
2010-03-25,206.93,208.24,209.7,-106.11,52.93,97.87,,,,,,
2010-03-26,206.97,208.13,209.39,-106.07,52.82,97.56,,,,,,
2010-03-29,211.88,212.86,214.08,-101.16,57.55,102.25,,,,,,
2010-03-30,212.47,213.16,214.37,-100.86,57.84,102.6,-128054.0,111466.0,239520.0,26226.0,50817.0,24591.0
2010-03-31,216.46,217.9,219.08,-96.12,62.55,107.29,,,,,,
2010-04-01,221.67,223.07,224.84,-92.35,66.54,111.37,,,,,,
2010-04-05,226.75,228.25,230.09,-87.27,71.72,116.62,,,,,,
2010-04-06,226.83,228.53,230.46,-87.19,72.0,116.99,-138078.0,101004.0,239082.0,33869.0,63220.0,29351.0
2010-04-07,224.39,226.11,228.22,-89.63,69.58,114.75,,,,,,
2010-04-08,222.82,224.45,226.54,-91.2,67.92,113.07,,,,,,
2010-04-09,222.6,224.36,226.57,-91.42,67.83,113.1,,,,,,
2010-04-12,221.89,223.74,226.12,-92.13,67.21,112.65,,,,,,
2010-04-13,221.42,223.34,225.52,-92.6,66.81,112.05,-137196.0,88070.0,225266.0,35857.0,62256.0,26399.0
2010-04-14,224.21,226.16,228.24,-89.81,69.63,114.77,,,,,,
2010-04-15,225.23,227.39,229.64,-88.79,70.86,116.17,,,,,,
2010-04-16,221.69,223.94,226.21,-92.33,67.41,112.74,,,,,,
2010-04-19,215.68,218.36,220.98,-98.34,61.83,107.51,,,,,,
2010-04-20,218.02,220.49,222.85,-96.0,63.96,109.38,-126605.0,95990.0,222595.0,32550.0,54795.0,22245.0
2010-04-21,220.58,222.97,225.29,-93.44,66.44,111.82,,,,,,
2010-04-22,221.5,223.97,226.3,-92.52,67.44,112.83,,,,,,
2010-04-23,225.05,227.47,229.77,-88.97,70.94,116.3,,,,,,
2010-04-26,223.71,226.37,228.77,-90.31,69.84,115.3,,,,,,
2010-04-27,223.03,225.51,227.78,-90.99,68.98,114.31,-132494.0,99097.0,231591.0,34756.0,61859.0,27103.0
2010-04-28,222.9,225.42,227.84,-91.12,68.89,114.37,,,,,,
2010-04-29,225.12,227.82,230.3,-88.72,71.35,116.82,,,,,,
2010-04-30,228.85,231.57,233.93,-84.97,74.98,120.33,,,,,,
2010-05-03,234.51,237.08,239.53,-82.03,78.13,123.6,,,,,,
2010-05-04,225.95,228.5,231.0,-90.59,69.55,115.07,-131920.0,99729.0,231649.0,34705.0,65087.0,30382.0
2010-05-05,218.45,221.01,223.49,-98.09,62.06,107.56,,,,,,
2010-05-06,211.37,213.77,216.31,-105.17,54.82,100.38,,,,,,
2010-05-07,207.95,209.98,212.33,-108.59,51.03,96.4,,,,,,
2010-05-10,212.02,214.14,216.57,-104.52,55.19,100.64,,,,,,
2010-05-11,214.01,215.98,218.25,-102.53,57.03,102.32,-118583.0,117019.0,235602.0,21345.0,42289.0,20944.0
2010-05-12,215.91,217.66,219.74,-100.63,58.71,103.81,,,,,,
2010-05-13,213.19,214.87,216.77,-103.35,55.92,100.84,,,,,,
2010-05-14,206.06,207.52,209.31,-110.48,48.57,93.38,,,,,,
2010-05-17,198.52,200.2,202.14,-118.02,41.25,86.21,,,,,,
2010-05-18,196.15,197.85,199.89,-120.39,38.9,83.96,-112026.0,118481.0,230507.0,17995.0,43828.0,25833.0
2010-05-19,194.52,196.1,198.0,-122.02,37.15,82.07,,,,,,
2010-05-20,190.19,191.62,193.39,-126.35,32.67,77.46,,,,,,
2010-05-21,189.67,191.09,192.79,-126.87,32.14,76.86,,,,,,
2010-05-24,189.93,191.36,193.16,-126.61,32.41,77.23,,,,,,
2010-05-25,187.17,188.42,190.24,-129.37,29.47,74.31,-106195.0,106298.0,212493.0,13196.0,38701.0,25505.0
2010-05-26,192.07,193.24,195.13,-124.47,34.29,79.2,,,,,,
2010-05-27,199.94,200.97,202.72,-116.74,41.88,86.67,,,,,,
2010-05-28,198.02,200.45,202.38,-117.26,41.54,86.51,,,,,,
2010-06-01,197.04,199.12,201.75,-120.67,38.28,83.38,-105920.0,100579.0,206499.0,13652.0,37191.0,23539.0
2010-06-02,200.59,202.52,205.01,-117.12,41.68,86.64,,,,,,
2010-06-03,203.91,205.8,208.21,-113.8,44.96,89.84,,,,,,
2010-06-04,195.77,197.65,200.1,-121.94,36.81,81.73,,,,,,
2010-06-07,196.83,198.81,201.32,-120.88,37.97,82.95,,,,,,
2010-06-08,196.53,198.47,200.96,-121.18,37.63,82.59,-107774.0,121226.0,229000.0,16109.0,37322.0,21213.0
2010-06-09,200.96,202.93,205.34,-116.75,42.09,86.97,,,,,,
2010-06-10,203.28,205.27,207.71,-114.43,44.43,89.34,,,,,,
2010-06-11,200.53,202.58,205.14,-117.18,41.74,86.77,,,,,,
2010-06-14,202.59,204.48,206.92,-115.12,43.64,88.55,,,,,,
2010-06-15,206.85,208.68,211.03,-110.86,47.84,92.66,-110446.0,139434.0,249880.0,17925.0,36199.0,18274.0
2010-06-16,211.01,212.68,214.98,-106.7,51.84,96.61,,,,,,
2010-06-17,214.74,216.21,218.08,-102.97,55.37,99.71,,,,,,
2010-06-18,212.89,214.42,216.33,-104.82,53.58,97.96,,,,,,
2010-06-21,214.59,216.13,218.13,-103.12,55.29,99.76,,,,,,
2010-06-22,211.29,213.07,215.4,-106.42,52.23,97.03,-123532.0,130324.0,253856.0,28101.0,42612.0,14511.0
2010-06-23,206.84,208.65,211.09,-110.87,47.81,92.72,,,,,,
2010-06-24,205.72,207.83,210.35,-111.99,46.99,91.98,,,,,,
2010-06-25,211.22,213.34,215.62,-106.49,52.5,97.25,,,,,,
2010-06-28,209.33,211.71,214.25,-108.38,50.87,95.88,,,,,,
2010-06-29,202.13,204.98,207.72,-115.11,44.34,89.5,-120784.0,127684.0,248468.0,24314.0,39942.0,15628.0
2010-06-30,198.17,201.43,204.41,-118.66,41.03,86.37,,,,,,
2010-07-01,193.85,196.79,199.69,-126.24,33.41,78.77,,,,,,
2010-07-02,191.55,194.2,196.94,-128.54,30.82,76.02,,,,,,
2010-07-06,191.72,194.2,196.74,-128.37,30.82,75.82,-99979.0,134889.0,234868.0,12014.0,34388.0,22374.0
2010-07-07,197.87,200.09,202.47,-122.22,36.71,81.55,,,,,,
2010-07-08,200.53,202.93,205.48,-119.56,39.55,84.56,,,,,,
2010-07-09,202.57,204.9,207.29,-117.52,41.52,86.37,,,,,,
2010-07-12,199.13,201.56,203.97,-120.96,38.18,83.05,,,,,,
2010-07-13,204.74,207.1,209.48,-115.35,43.72,88.56,-105804.0,139725.0,245529.0,14643.0,32870.0,18227.0
2010-07-14,203.61,205.92,208.23,-116.48,42.54,87.31,,,,,,
2010-07-15,201.83,204.18,206.57,-118.26,40.8,85.65,,,,,,
2010-07-16,201.13,203.38,205.7,-118.96,40.0,84.78,,,,,,
2010-07-19,201.7,204.13,206.56,-118.39,40.75,85.64,,,,,,
2010-07-20,202.47,205.06,207.59,-117.62,41.68,86.67,-107597.0,130711.0,238308.0,15586.0,34987.0,19401.0
2010-07-21,198.92,201.63,204.37,-121.17,38.25,83.45,,,,,,
2010-07-22,206.24,208.95,211.51,-113.85,45.57,90.59,,,,,,
2010-07-23,205.05,207.86,210.58,-115.04,44.48,89.66,,,,,,
2010-07-26,204.26,207.11,209.86,-115.83,43.73,88.94,,,,,,
2010-07-27,199.94,202.94,205.83,-120.15,39.56,84.91,-107463.0,124502.0,231965.0,13596.0,35589.0,21993.0
2010-07-28,199.64,202.6,205.46,-120.45,39.22,84.54,,,,,,
2010-07-29,203.72,206.96,209.7,-116.09,43.46,88.68,,,,,,
2010-07-30,204.27,208.81,211.53,-114.24,45.29,90.44,,,,,,
2010-08-02,215.38,218.19,220.98,-107.67,51.95,97.17,,,,,,
2010-08-03,220.0,222.86,225.64,-103.05,56.62,101.83,-124431.0,121896.0,246327.0,29548.0,52281.0,22733.0
2010-08-04,220.22,223.12,225.89,-102.83,56.88,102.08,,,,,,
2010-08-05,218.68,221.5,224.16,-104.37,55.26,100.35,,,,,,
2010-08-06,214.72,217.84,220.76,-108.33,51.6,96.95,,,,,,
2010-08-09,215.38,218.78,221.79,-107.67,52.54,97.98,,,,,,
2010-08-10,212.54,215.8,218.75,-110.51,49.56,94.94,-124369.0,121073.0,245442.0,28875.0,51044.0,22169.0
2010-08-11,207.52,210.7,213.6,-115.53,44.46,89.79,,,,,,
2010-08-12,200.15,203.26,206.24,-122.9,37.02,82.43,,,,,,
2010-08-13,199.56,202.42,205.32,-123.49,36.18,81.51,,,,,,
2010-08-16,198.88,201.64,204.51,-124.17,35.4,80.7,,,,,,
2010-08-17,202.59,205.14,207.93,-120.46,38.9,84.12,-96901.0,134964.0,231865.0,4867.0,35697.0,30830.0
2010-08-18,202.49,204.84,207.43,-120.56,38.6,83.62,,,,,,
2010-08-19,200.07,202.35,204.88,-122.98,36.11,81.07,,,,,,
2010-08-20,197.1,199.31,201.87,-125.95,33.07,78.06,,,,,,
2010-08-23,195.54,197.65,200.18,-127.51,31.41,76.37,,,,,,
2010-08-24,193.57,195.37,197.82,-129.48,29.13,74.01,-82635.0,146523.0,229158.0,-5897.0,32035.0,37932.0
2010-08-25,197.06,198.56,200.86,-125.99,32.32,77.05,,,,,,
2010-08-26,200.92,202.36,204.53,-122.13,36.12,80.72,,,,,,
2010-08-27,204.43,205.75,207.94,-118.62,39.51,84.13,,,,,,
2010-08-30,202.52,203.77,206.01,-120.6,37.58,82.33,,,,,,
2010-08-31,199.44,199.17,201.54,-125.2,33.11,77.93,-89021.0,147238.0,236259.0,-64.0,34040.0,34104.0
2010-09-01,204.11,206.32,208.71,-120.26,37.89,82.55,,,,,,
2010-09-02,206.23,208.4,210.76,-118.14,39.97,84.6,,,,,,
2010-09-03,205.73,208.07,210.49,-118.64,39.64,84.33,,,,,,
2010-09-07,207.43,209.69,212.08,-116.94,41.26,85.92,-101287.0,143494.0,244781.0,9995.0,37328.0,27333.0
2010-09-08,208.17,210.58,213.12,-116.2,42.15,86.96,,,,,,
2010-09-09,206.84,208.99,211.33,-117.53,40.56,85.17,,,,,,
2010-09-10,210.44,212.21,214.1,-113.93,43.78,87.94,,,,,,
2010-09-13,212.27,213.92,215.66,-112.1,45.49,89.5,,,,,,
2010-09-14,212.88,214.45,216.11,-111.49,46.02,89.95,-109021.0,146394.0,255415.0,15670.0,41679.0,26009.0
2010-09-15,213.26,214.99,216.8,-111.11,46.56,90.64,,,,,,
2010-09-16,209.9,211.86,213.88,-114.47,43.43,87.72,,,,,,
2010-09-17,209.92,211.72,213.55,-114.45,43.29,87.39,,,,,,
2010-09-20,213.94,215.49,216.98,-110.43,47.06,90.82,,,,,,
2010-09-21,211.99,213.62,215.19,-112.38,45.19,89.03,-117275.0,156045.0,273320.0,22524.0,44689.0,22165.0
2010-09-22,210.7,212.5,214.33,-113.67,44.07,88.17,,,,,,
2010-09-23,211.45,213.35,215.07,-112.92,44.92,88.91,,,,,,
2010-09-24,213.06,214.99,216.59,-111.31,46.56,90.43,,,,,,
2010-09-27,212.28,213.94,215.53,-112.09,45.51,89.37,,,,,,
2010-09-28,212.45,214.12,215.81,-111.92,45.69,89.65,-119244.0,149722.0,268966.0,23516.0,48418.0,24902.0
2010-09-29,219.05,221.13,222.7,-104.91,52.58,96.48,,,,,,
2010-09-30,224.4,226.78,228.24,-99.26,58.12,101.83,,,,,,
2010-10-01,229.38,230.99,233.01,-96.66,60.87,104.66,,,,,,
2010-10-04,228.47,230.06,231.95,-97.57,59.94,103.6,,,,,,
2010-10-05,230.26,232.2,234.36,-95.78,62.08,106.01,-146856.0,125783.0,272639.0,48058.0,72631.0,24573.0
2010-10-06,230.78,232.68,234.84,-95.26,62.56,106.49,,,,,,
2010-10-07,225.18,227.23,229.67,-100.86,57.11,101.32,,,,,,
2010-10-08,228.19,230.08,232.48,-97.85,59.96,104.13,,,,,,
2010-10-11,227.9,229.72,231.91,-98.14,59.6,103.56,,,,,,
2010-10-12,226.25,228.27,230.72,-99.79,58.15,102.37,-142298.0,122940.0,265238.0,41565.0,63988.0,22423.0
2010-10-13,230.07,231.85,234.08,-95.97,61.73,105.73,,,,,,
2010-10-14,228.39,230.27,232.6,-97.65,60.15,104.25,,,,,,
2010-10-15,223.08,224.95,227.38,-102.96,54.83,99.03,,,,,,
2010-10-18,227.61,229.53,231.91,-98.43,59.41,103.56,,,,,,
2010-10-19,218.93,220.97,223.35,-107.11,50.85,95.0,-135123.0,124378.0,259501.0,32904.0,57262.0,24358.0
2010-10-20,225.48,227.29,229.65,-100.56,57.17,101.3,,,,,,
2010-10-21,221.45,223.3,225.58,-104.59,53.18,97.23,,,,,,
2010-10-22,225.16,226.91,229.05,-100.88,56.79,100.7,,,,,,
2010-10-25,225.5,227.41,229.72,-100.54,57.29,101.37,,,,,,
2010-10-26,225.0,226.84,229.24,-101.04,56.72,100.89,-134745.0,126435.0,261180.0,32419.0,56391.0,23972.0
2010-10-27,223.83,225.62,227.93,-102.21,55.5,99.58,,,,,,
2010-10-28,224.35,225.94,228.24,-101.89,55.81,99.86,,,,,,
2010-10-29,222.01,223.77,226.19,-104.06,53.76,97.93,,,,,,
2010-11-01,227.77,230.2,231.77,-100.06,57.77,101.94,,,,,,
2010-11-02,229.36,231.76,233.42,-98.47,59.33,103.59,-133391.0,120671.0,254062.0,27606.0,52174.0,24568.0
2010-11-03,232.79,235.1,236.65,-95.04,62.67,106.82,,,,,,
2010-11-04,237.31,239.59,241.04,-90.52,67.16,111.21,,,,,,
2010-11-05,238.48,240.74,242.14,-89.35,68.31,112.31,,,,,,
2010-11-08,239.77,241.98,243.31,-88.06,69.55,113.48,,,,,,
2010-11-09,240.67,242.63,243.63,-87.16,70.2,113.8,-145354.0,118296.0,263650.0,44903.0,67283.0,22380.0
2010-11-10,244.19,245.8,246.37,-83.64,73.37,116.54,,,,,,
2010-11-11,242.66,244.33,245.03,-85.17,71.9,115.2,,,,,,
2010-11-12,236.32,238.06,238.9,-91.51,65.63,109.07,,,,,,
2010-11-15,237.09,238.88,239.73,-90.74,66.45,109.9,,,,,,
2010-11-16,230.9,232.8,233.82,-96.93,60.37,103.99,-146697.0,108193.0,254890.0,45661.0,66538.0,20877.0
2010-11-17,225.19,227.18,228.33,-102.64,54.75,98.5,,,,,,
2010-11-18,229.51,231.33,232.35,-98.32,58.9,102.52,,,,,,
2010-11-19,227.44,229.18,230.09,-100.39,56.75,100.26,,,,,,
2010-11-22,226.86,228.56,229.52,-100.97,56.13,99.69,,,,,,
2010-11-23,224.96,226.69,227.65,-102.87,54.26,97.82,-121542.0,124178.0,245720.0,19311.0,49626.0,30315.0
2010-11-24,232.55,234.18,235.11,-95.28,61.75,105.28,,,,,,
2010-11-26,231.62,233.3,234.29,-96.21,60.87,104.46,,,,,,
2010-11-29,235.81,238.03,239.12,-91.48,65.7,109.3,,,,,,
2010-11-30,231.69,232.44,233.81,-97.07,60.39,104.15,-123650.0,102731.0,226381.0,22409.0,51257.0,28848.0
2010-12-01,240.56,241.75,241.83,-88.95,68.33,111.85,,,,,,
2010-12-02,245.46,246.52,246.39,-84.05,73.1,116.41,,,,,,
2010-12-03,248.74,250.05,249.78,-80.77,76.63,119.8,,,,,,
2010-12-06,247.57,249.11,248.92,-81.94,75.69,118.94,,,,,,
2010-12-07,247.02,248.86,249.13,-82.49,75.44,119.15,-135175.0,106009.0,241184.0,36504.0,67976.0,31472.0
2010-12-08,246.07,247.98,248.51,-83.44,74.56,118.53,,,,,,
2010-12-09,246.68,248.31,248.68,-82.83,74.89,118.7,,,,,,
2010-12-10,245.75,247.21,247.52,-83.76,73.79,117.54,,,,,,
2010-12-13,246.52,248.05,248.54,-82.99,74.63,118.56,,,,,,
2010-12-14,246.79,248.03,248.45,-82.72,74.61,118.47,-128661.0,103693.0,232354.0,31794.0,61323.0,29529.0
2010-12-15,248.35,249.29,249.53,-81.16,75.87,119.55,,,,,,
2010-12-16,247.63,248.45,248.58,-81.88,75.03,118.6,,,,,,
2010-12-17,247.37,248.55,248.76,-82.14,75.13,118.78,,,,,,
2010-12-20,248.95,250.38,250.73,-80.56,76.96,120.75,,,,,,
2010-12-21,251.64,252.91,253.17,-77.87,79.49,123.19,-132182.0,103841.0,236023.0,32986.0,62762.0,29776.0
2010-12-22,252.85,254.02,254.15,-76.66,80.6,124.17,,,,,,
2010-12-23,254.08,255.15,255.27,-75.43,81.73,125.29,,,,,,
2010-12-27,251.66,252.66,253.01,-77.85,79.24,123.03,,,,,,
2010-12-28,252.43,253.55,254.0,-77.08,80.13,124.02,-131777.0,104307.0,236084.0,31800.0,60960.0,29160.0
2010-12-29,252.15,253.39,253.91,-77.36,79.97,123.93,,,,,,
2010-12-30,248.54,249.99,250.77,-80.76,76.83,121.13,,,,,,
2010-12-31,254.37,254.24,254.85,-76.51,80.91,125.22,,,,,,
2011-01-03,255.28,255.85,255.39,-75.47,81.91,126.17,,,,,,
2011-01-04,250.65,251.65,251.53,-80.1,77.71,122.31,-127788.0,107751.0,235539.0,35239.0,61038.0,25799.0
2011-01-05,254.22,255.1,254.82,-76.53,81.16,125.6,,,,,,
2011-01-06,251.12,251.75,251.47,-79.63,77.81,122.25,,,,,,
2011-01-07,248.63,249.06,248.65,-82.12,75.12,119.43,,,,,,
2011-01-10,255.61,255.78,254.97,-75.14,81.84,125.75,,,,,,
2011-01-11,260.88,261.12,260.37,-69.87,87.18,131.15,-133862.0,97686.0,231548.0,40913.0,63637.0,22724.0
2011-01-12,261.86,262.23,261.55,-68.89,88.29,132.33,,,,,,
2011-01-13,260.91,261.31,260.76,-69.84,87.37,131.54,,,,,,
2011-01-14,264.52,264.86,264.11,-66.23,90.92,134.89,,,,,,
2011-01-18,264.59,264.89,263.91,-66.16,90.95,134.69,-129832.0,107759.0,237591.0,37615.0,64822.0,27207.0
2011-01-19,265.62,265.9,264.69,-65.13,91.96,135.47,,,,,,
2011-01-20,262.32,262.65,261.56,-68.43,88.71,132.34,,,,,,
2011-01-21,265.08,265.43,264.48,-65.67,91.49,135.26,,,,,,
2011-01-24,261.93,262.31,261.51,-68.82,88.37,132.29,,,,,,
2011-01-25,259.29,259.66,258.94,-71.46,85.72,129.72,-122513.0,111867.0,234380.0,33791.0,67328.0,33537.0
2011-01-26,266.98,267.13,266.27,-63.77,93.19,137.05,,,,,,
2011-01-27,265.46,265.51,264.61,-65.29,91.57,135.39,,,,,,
2011-01-28,269.02,269.42,268.71,-61.73,95.48,139.49,,,,,,
2011-01-31,274.68,274.03,273.31,-57.12,100.08,144.03,,,,,,
2011-02-01,275.7,275.22,275.03,-55.45,101.99,146.1,-123232.0,103862.0,227094.0,34225.0,70883.0,36658.0
2011-02-02,278.07,277.84,277.73,-53.08,104.61,148.8,,,,,,
2011-02-03,276.74,276.72,276.81,-54.41,103.49,147.88,,,,,,
2011-02-04,271.67,271.81,272.2,-59.48,98.58,143.27,,,,,,
2011-02-07,270.61,270.78,271.36,-60.54,97.55,142.43,,,,,,
2011-02-08,273.18,273.06,273.34,-57.97,99.83,144.41,-116578.0,112835.0,229413.0,30336.0,67797.0,37461.0
2011-02-09,276.89,277.06,277.64,-54.26,103.83,148.71,,,,,,
2011-02-10,271.07,271.61,272.54,-60.08,98.38,143.61,,,,,,
2011-02-11,269.58,270.28,271.26,-61.57,97.05,142.33,,,,,,
2011-02-14,275.04,275.51,276.23,-56.11,102.28,147.3,,,,,,
2011-02-15,272.9,273.24,273.83,-58.25,100.01,144.9,-108887.0,119575.0,228462.0,28480.0,66229.0,37749.0
2011-02-16,277.48,278.09,278.92,-53.67,104.86,149.99,,,,,,
2011-02-17,273.24,274.09,275.06,-57.91,100.86,146.13,,,,,,
2011-02-18,271.29,272.6,273.82,-59.86,99.37,144.89,,,,,,
2011-02-22,279.24,280.35,281.28,-51.91,107.12,152.35,-107145.0,125517.0,232662.0,24413.0,60150.0,35737.0
2011-02-23,290.49,291.66,292.63,-40.66,118.43,163.7,,,,,,
2011-02-24,287.73,289.32,290.81,-43.42,116.09,161.88,,,,,,
2011-02-25,293.09,294.55,295.91,-38.06,121.32,166.98,,,,,,
2011-02-28,292.58,293.89,295.43,-38.72,120.84,166.7,,,,,,
2011-03-01,302.35,303.68,305.04,-30.26,129.09,174.78,-93643.0,117392.0,211035.0,15367.0,56644.0,41277.0
2011-03-02,305.77,306.92,308.04,-26.84,132.33,177.78,,,,,,
2011-03-03,304.93,305.88,306.81,-27.68,131.29,176.55,,,,,,
2011-03-04,308.93,309.57,310.23,-23.68,134.98,179.97,,,,,,
2011-03-07,306.57,307.43,308.32,-26.04,132.84,178.06,,,,,,
2011-03-08,301.11,302.31,303.53,-31.5,127.72,173.27,-95450.0,123515.0,218965.0,16936.0,56187.0,39251.0
2011-03-09,307.07,307.96,308.95,-25.54,133.37,178.69,,,,,,
2011-03-10,304.49,305.59,306.72,-28.12,131.0,176.46,,,,,,
2011-03-11,302.9,303.79,304.74,-29.71,129.2,174.48,,,,,,
2011-03-14,306.38,307.09,307.77,-26.23,132.5,177.51,,,,,,
2011-03-15,295.38,296.08,296.79,-37.23,121.49,166.53,-101617.0,122137.0,223754.0,22038.0,61055.0,39017.0
2011-03-16,299.72,300.47,301.12,-32.89,125.88,170.86,,,,,,
2011-03-17,306.49,307.45,308.34,-26.12,132.86,178.08,,,,,,
2011-03-18,302.43,303.64,304.82,-30.18,129.05,174.56,,,,,,
2011-03-21,305.25,306.72,308.18,-27.36,132.13,177.92,,,,,,
2011-03-22,307.62,309.21,310.66,-24.99,134.62,180.4,-103361.0,115310.0,218671.0,22892.0,60713.0,37821.0
2011-03-23,305.5,307.19,308.73,-27.11,132.6,178.47,,,,,,
2011-03-24,306.2,307.87,309.34,-26.41,133.28,179.08,,,,,,
2011-03-25,305.48,307.15,308.52,-27.13,132.56,178.26,,,,,,
2011-03-28,302.49,304.12,305.43,-30.12,129.53,175.17,,,,,,
2011-03-29,304.15,305.73,306.98,-28.46,131.14,176.72,-101641.0,123490.0,225131.0,25584.0,61559.0,35975.0
2011-03-30,303.96,305.34,306.49,-28.85,130.65,176.13,,,,,,
2011-03-31,308.98,311.25,312.33,-22.94,136.49,181.92,,,,,,
2011-04-01,313.45,314.52,315.65,-20.74,138.68,184.11,,,,,,
2011-04-04,317.14,318.14,319.19,-17.05,142.3,187.65,,,,,,
2011-04-05,318.5,319.72,320.96,-15.69,143.88,189.42,-100952.0,124653.0,225605.0,26410.0,63077.0,36667.0
2011-04-06,319.12,320.45,321.84,-15.07,144.61,190.3,,,,,,
2011-04-07,320.6,321.8,323.11,-13.59,145.96,191.57,,,,,,
2011-04-08,331.97,332.92,334.04,-2.22,157.08,202.5,,,,,,
2011-04-11,325.25,326.47,327.84,-8.94,150.63,196.3,,,,,,
