,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2010-04-19,84.23,84.98,85.6,22.99,43.37,50.84,,,,,,
2010-04-20,84.8,85.5,86.09,23.56,43.89,51.33,,,,,,
2010-04-21,85.7,86.46,87.09,24.46,44.85,52.33,,,,,,
2010-04-22,85.67,86.51,87.2,24.43,44.9,52.44,,,,,,
2010-04-23,87.25,88.0,88.61,26.01,46.39,53.85,,,,,,
2010-04-26,86.83,87.62,88.3,25.59,46.01,53.54,,,,,,
2010-04-27,85.78,86.65,87.4,24.54,45.04,52.64,,,,,,
2010-04-28,86.16,87.05,87.82,24.92,45.44,53.06,,,,,,
2010-04-29,86.9,87.84,88.62,25.66,46.23,53.86,,,,,,
2010-04-30,87.44,88.45,89.29,26.2,46.84,54.53,,,,,,
2010-05-03,88.94,89.99,90.86,27.7,48.38,56.1,,,,,,
2010-05-04,85.67,86.66,87.51,24.43,45.05,52.75,,,,,,
2010-05-05,82.61,83.66,84.56,21.37,42.05,49.8,,,,,,
2010-05-06,79.83,80.89,81.81,18.59,39.28,47.05,,,,,,
2010-05-07,78.27,79.34,80.3,17.03,37.73,45.54,,,,,,
2010-05-10,80.12,81.23,82.19,18.88,39.62,47.43,,,,,,
2010-05-11,80.49,81.65,82.64,19.25,40.04,47.88,,,,,,
2010-05-12,81.2,82.4,83.39,19.96,40.79,48.63,,,,,,
2010-05-13,80.11,81.43,82.42,18.99,39.82,47.66,,,,,,
2010-05-14,77.18,77.93,78.96,15.49,36.36,44.2,,,,,,
2010-05-17,75.1,76.11,76.94,12.66,33.51,41.34,,,,,,
2010-05-18,74.43,75.36,76.11,11.99,32.76,40.51,,,,,,
2010-05-19,73.69,74.52,75.17,11.25,31.92,39.57,,,,,,
2010-05-20,71.84,72.61,73.23,9.4,30.01,37.63,,,,,,
2010-05-21,71.68,72.47,73.14,9.24,29.87,37.54,,,,,,
2010-05-24,71.17,72.0,72.69,8.73,29.4,37.09,,,,,,
2010-05-25,69.55,70.38,71.09,7.11,27.78,35.49,,,,,,
2010-05-26,71.74,72.48,73.14,9.3,29.88,37.54,,,,,,
2010-05-27,74.66,75.43,76.12,12.22,32.83,40.52,,,,,,
2010-05-28,74.02,74.8,75.51,11.58,32.2,39.91,,,,,,
2010-05-31,74.65,75.4,76.07,12.21,32.8,40.47,,,,,,
2010-06-01,72.71,73.55,74.31,10.27,30.95,38.71,,,,,,
2010-06-02,73.75,74.59,75.33,11.31,31.99,39.73,,,,,,
2010-06-03,75.41,76.19,76.85,12.97,33.59,41.25,,,,,,
2010-06-04,72.09,72.84,73.52,9.65,30.24,37.92,,,,,,
2010-06-07,72.12,72.88,73.59,9.68,30.28,37.99,,,,,,
2010-06-08,72.3,73.0,73.64,9.86,30.4,38.04,,,,,,
2010-06-09,74.27,74.95,75.52,11.83,32.35,39.92,,,,,,
2010-06-10,75.29,76.06,76.68,12.85,33.46,41.08,,,,,,
2010-06-11,74.35,75.14,75.8,11.91,32.54,40.2,,,,,,
2010-06-14,75.2,75.66,76.23,12.43,32.97,40.62,,,,,,
2010-06-15,76.2,77.1,77.62,13.87,34.36,41.96,,,,,,
2010-06-16,78.14,78.68,79.23,14.91,35.42,43.04,,,,,,
2010-06-17,78.68,79.14,79.64,15.45,35.88,43.45,,,,,,
2010-06-18,78.22,78.74,79.25,14.99,35.48,43.06,,,,,,
2010-06-21,78.82,79.21,79.67,15.59,35.95,43.48,,,,,,
2010-06-22,78.04,78.47,78.93,14.81,35.21,42.74,,,,,,
2010-06-23,76.27,76.68,77.14,13.04,33.42,40.95,,,,,,
2010-06-24,76.47,76.8,77.22,13.24,33.54,41.03,,,,,,
2010-06-25,78.12,78.52,79.01,14.89,35.26,42.82,,,,,,
2010-06-28,77.59,78.01,78.55,14.36,34.75,42.36,,,,,,
2010-06-29,75.44,75.78,76.27,12.21,32.52,40.08,,,,,,
2010-06-30,75.01,75.28,75.7,11.78,32.02,39.51,,,,,,
2010-07-01,72.34,72.6,73.03,9.11,29.34,36.84,,,,,,
2010-07-02,71.65,71.84,72.26,8.42,28.58,36.07,,,,,,
2010-07-05,71.47,71.72,72.2,8.24,28.46,36.01,,,,,,
2010-07-06,71.45,71.74,72.29,8.22,28.48,36.1,,,,,,
2010-07-07,73.51,73.77,74.29,10.28,30.51,38.1,,,,,,
2010-07-08,74.71,75.02,75.58,11.48,31.76,39.39,,,,,,
2010-07-09,75.42,75.65,76.07,12.19,32.39,39.88,,,,,,
2010-07-12,74.37,74.48,74.82,11.14,31.22,38.63,,,,,,
2010-07-13,76.65,76.73,77.04,13.42,33.47,40.85,,,,,,
2010-07-14,76.77,76.66,76.98,13.35,33.41,40.79,,,,,,
2010-07-15,76.19,76.09,76.46,12.78,32.89,40.31,,,,,,
