,QS1 Comdty ,QS2 Comdty ,QS3 Comdty ,S:QSQS 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2010-05-26,50006.0,61559.0,20878.0,18857.0
2010-05-27,41026.0,55329.0,18473.0,11218.0
2010-05-28,38080.0,53328.0,15910.0,11538.0
2010-05-31,8366.0,9630.0,3517.0,4703.0
2010-06-01,47002.0,76243.0,21958.0,19052.0
2010-06-02,41836.0,62149.0,21203.0,15475.0
2010-06-03,35460.0,62085.0,25461.0,13902.0
2010-06-04,38440.0,62861.0,20035.0,13707.0
2010-06-07,56653.0,93141.0,37297.0,30757.0
2010-06-08,47419.0,104905.0,41746.0,29684.0
2010-06-09,32438.0,81370.0,37851.0,20530.0
2010-06-10,11636.0,85796.0,60945.0,9148.0
2010-06-11,71120.0,54541.0,21408.0,25061.0
2010-06-14,43913.0,37285.0,18217.0,12781.0
2010-06-15,56832.0,55208.0,24897.0,19143.0
2010-06-16,63929.0,59975.0,32819.0,21374.0
2010-06-17,68727.0,81967.0,34785.0,29796.0
2010-06-18,45508.0,51437.0,20885.0,15715.0
2010-06-21,48378.0,55222.0,25113.0,18987.0
2010-06-22,57925.0,72269.0,39090.0,25325.0
2010-06-23,48059.0,63865.0,39214.0,16301.0
2010-06-24,45585.0,69277.0,30153.0,19869.0
2010-06-25,40910.0,60294.0,23992.0,17712.0
2010-06-28,34152.0,43946.0,20143.0,10679.0
2010-06-29,39499.0,64391.0,31828.0,12852.0
2010-06-30,50617.0,79766.0,33810.0,25484.0
2010-07-01,50103.0,88650.0,34304.0,24771.0
2010-07-02,34129.0,62670.0,27235.0,12967.0
2010-07-05,24939.0,34728.0,12340.0,15309.0
2010-07-06,44360.0,69891.0,24122.0,23649.0
2010-07-07,40362.0,71846.0,27632.0,21480.0
2010-07-08,49044.0,93919.0,44351.0,25774.0
2010-07-09,37820.0,71988.0,25528.0,21127.0
2010-07-12,11309.0,76441.0,53675.0,7350.0
2010-07-13,70727.0,56741.0,19898.0,26743.0
2010-07-14,78120.0,72237.0,23116.0,40218.0
2010-07-15,67009.0,74423.0,25541.0,29093.0
2010-07-16,52767.0,51969.0,13811.0,23045.0
2010-07-19,46056.0,49137.0,13497.0,14291.0
2010-07-20,42118.0,45390.0,12913.0,12139.0
2010-07-21,68269.0,79266.0,39474.0,30026.0
2010-07-22,72608.0,87844.0,38713.0,32293.0
2010-07-23,49582.0,59600.0,21631.0,24904.0
2010-07-26,32797.0,41095.0,10671.0,12374.0
2010-07-27,46447.0,61047.0,13820.0,18636.0
2010-07-28,54093.0,72347.0,38766.0,21996.0
2010-07-29,60895.0,80127.0,28480.0,32411.0
2010-07-30,30538.0,51941.0,10400.0,10760.0
2010-08-02,37020.0,67389.0,21454.0,14653.0
2010-08-03,38785.0,70070.0,23257.0,18214.0
2010-08-04,26718.0,58673.0,24698.0,9311.0
2010-08-05,30072.0,65856.0,28711.0,15558.0
2010-08-06,39003.0,83827.0,30049.0,22494.0
2010-08-09,36021.0,61250.0,28680.0,17838.0
2010-08-10,41345.0,76146.0,31093.0,16370.0
2010-08-11,33701.0,92355.0,40847.0,22737.0
2010-08-12,11456.0,127503.0,74527.0,8844.0
2010-08-13,55634.0,36233.0,11831.0,12063.0
2010-08-16,39310.0,25929.0,8637.0,6183.0
2010-08-17,60784.0,46202.0,13836.0,21416.0
2010-08-18,75829.0,66008.0,23674.0,30395.0
2010-08-19,67590.0,64718.0,24728.0,29845.0
2010-08-20,46869.0,36044.0,12017.0,13508.0
2010-08-23,41283.0,40168.0,13947.0,11204.0
2010-08-24,45508.0,41874.0,10844.0,9856.0
2010-08-25,67396.0,65644.0,23087.0,24099.0
2010-08-26,49058.0,65023.0,27505.0,18112.0
2010-08-27,30809.0,47119.0,12815.0,8423.0
2010-08-30,17882.0,31783.0,8667.0,4778.0
2010-08-31,42036.0,67744.0,19418.0,14383.0
2010-09-01,53310.0,87657.0,36341.0,23008.0
2010-09-02,59709.0,93762.0,37749.0,32865.0
2010-09-03,38121.0,70435.0,24444.0,14525.0
2010-09-06,21616.0,28024.0,7728.0,11193.0
2010-09-07,55978.0,110190.0,39534.0,35610.0
2010-09-08,56526.0,99296.0,31637.0,36128.0
2010-09-09,44024.0,94949.0,41964.0,24848.0
2010-09-10,10756.0,90045.0,61890.0,8751.0
2010-09-13,74002.0,65225.0,48903.0,28890.0
2010-09-14,66532.0,57093.0,34286.0,29452.0
2010-09-15,73935.0,71972.0,48362.0,34641.0
2010-09-16,47282.0,38077.0,28852.0,13517.0
2010-09-17,84765.0,89763.0,67130.0,42675.0
2010-09-20,52776.0,60060.0,38706.0,22153.0
2010-09-21,56366.0,73274.0,58304.0,26050.0
2010-09-22,64995.0,74024.0,46515.0,30053.0
2010-09-23,59565.0,81169.0,47119.0,28768.0
2010-09-24,43888.0,68715.0,41761.0,20907.0
2010-09-27,45601.0,79281.0,58481.0,22786.0
2010-09-28,65449.0,102070.0,71783.0,37323.0
2010-09-29,42566.0,81436.0,48126.0,19343.0
2010-09-30,53726.0,109991.0,71294.0,26355.0
2010-10-01,35677.0,84821.0,60126.0,19118.0
2010-10-04,37136.0,86945.0,64098.0,19186.0
2010-10-05,47285.0,104356.0,71806.0,29254.0
2010-10-06,47406.0,101139.0,77834.0,28391.0
2010-10-07,43182.0,117321.0,83774.0,22324.0
2010-10-08,38564.0,98425.0,69486.0,23026.0
2010-10-11,42670.0,98872.0,65621.0,29949.0
2010-10-12,16300.0,137678.0,120448.0,11215.0
2010-10-13,90669.0,96146.0,23351.0,53517.0
2010-10-14,64337.0,77732.0,26925.0,28533.0
2010-10-15,71700.0,78634.0,24221.0,23336.0
2010-10-18,55584.0,65067.0,17330.0,23939.0
2010-10-19,75835.0,91717.0,29433.0,36394.0
2010-10-20,89849.0,120595.0,59102.0,50012.0
2010-10-21,46073.0,70426.0,30085.0,17573.0
2010-10-22,43693.0,64445.0,25536.0,17792.0
2010-10-25,55678.0,83317.0,25645.0,29558.0
2010-10-26,36108.0,59428.0,14061.0,13469.0
2010-10-27,44236.0,70810.0,14790.0,16459.0
2010-10-28,44662.0,87912.0,40302.0,19829.0
2010-10-29,33184.0,74741.0,20555.0,12775.0
2010-11-01,41554.0,86336.0,22311.0,20519.0
2010-11-02,44953.0,84618.0,37942.0,22730.0
2010-11-03,41469.0,83292.0,27731.0,16575.0
2010-11-04,36654.0,79098.0,35117.0,15777.0
2010-11-05,39952.0,89696.0,55500.0,22416.0
2010-11-08,45306.0,84980.0,41214.0,26216.0
2010-11-09,41267.0,106724.0,56766.0,21055.0
2010-11-10,29023.0,128630.0,73458.0,19346.0
2010-11-11,9588.0,86067.0,62398.0,8393.0
2010-11-12,78606.0,54621.0,19343.0,20946.0
2010-11-15,61720.0,51957.0,25561.0,22924.0
2010-11-16,88940.0,83666.0,35576.0,33732.0
2010-11-17,74224.0,74614.0,17394.0,20094.0
2010-11-18,71935.0,74450.0,22713.0,24518.0
2010-11-19,81829.0,83518.0,31812.0,28035.0
2010-11-22,62970.0,69839.0,29011.0,20291.0
2010-11-23,60280.0,58654.0,14118.0,16378.0
2010-11-24,62314.0,75887.0,25177.0,20859.0
2010-11-25,31297.0,34266.0,8874.0,13992.0
2010-11-26,34110.0,45529.0,6439.0,11100.0
2010-11-29,50884.0,69232.0,25608.0,16663.0
2010-11-30,47333.0,92965.0,36466.0,19116.0
2010-12-01,45404.0,85632.0,30425.0,16934.0
2010-12-02,45805.0,91763.0,43227.0,16776.0
2010-12-03,38921.0,96005.0,41459.0,20551.0
2010-12-06,33539.0,75788.0,42516.0,13519.0
2010-12-07,28256.0,97004.0,36635.0,17339.0
2010-12-08,31270.0,100281.0,48667.0,14879.0
2010-12-09,28407.0,98160.0,55248.0,16533.0
2010-12-10,7628.0,73574.0,43369.0,5632.0
2010-12-13,70990.0,55815.0,31897.0,25486.0
2010-12-14,84867.0,67501.0,41397.0,31381.0
2010-12-15,71125.0,46823.0,18813.0,20364.0
2010-12-16,51636.0,45441.0,16614.0,20241.0
2010-12-17,39738.0,31372.0,12171.0,10599.0
2010-12-20,52463.0,51562.0,13179.0,21895.0
2010-12-21,41220.0,39373.0,17420.0,13303.0
2010-12-22,41702.0,42708.0,16162.0,13794.0
2010-12-23,24434.0,23043.0,6820.0,8981.0
2010-12-24,7642.0,7736.0,677.0,2912.0
2010-12-27,9264.0,12412.0,3051.0,2466.0
2010-12-28,11461.0,15233.0,3212.0,4585.0
2010-12-29,25723.0,23129.0,14232.0,9413.0
2010-12-30,42080.0,51699.0,28238.0,20279.0
2010-12-31,22550.0,32564.0,11043.0,8268.0
2011-01-03,20486.0,38573.0,11987.0,10542.0
2011-01-04,60748.0,104094.0,61636.0,27123.0
2011-01-05,64477.0,113400.0,60063.0,33153.0
2011-01-06,37676.0,88007.0,54849.0,17083.0
2011-01-07,41759.0,99581.0,52292.0,21597.0
2011-01-10,52226.0,112820.0,59621.0,22406.0
2011-01-11,39341.0,108193.0,57623.0,24387.0
2011-01-12,7248.0,110916.0,101127.0,5868.0
2011-01-13,59920.0,58854.0,22388.0,22302.0
2011-01-14,71243.0,72898.0,25158.0,26961.0
2011-01-17,19451.0,23194.0,9886.0,7040.0
2011-01-18,70961.0,74272.0,32089.0,26288.0
2011-01-19,59782.0,72210.0,32290.0,24199.0
2011-01-20,66001.0,78261.0,30581.0,23375.0
2011-01-21,56232.0,84945.0,34742.0,27838.0
2011-01-24,54478.0,81556.0,43311.0,21888.0
2011-01-25,60125.0,88480.0,33295.0,22312.0
2011-01-26,58507.0,104007.0,40671.0,25846.0
2011-01-27,44151.0,82722.0,32804.0,16898.0
2011-01-28,55730.0,116997.0,50822.0,27118.0
2011-01-31,47943.0,92703.0,39947.0,18657.0
2011-02-01,41228.0,107361.0,38281.0,16553.0
2011-02-02,47721.0,96059.0,37507.0,26347.0
2011-02-03,47064.0,103515.0,38599.0,27459.0
2011-02-04,32303.0,96032.0,31222.0,16203.0
2011-02-07,44855.0,90442.0,49208.0,25685.0
2011-02-08,52173.0,125091.0,68693.0,31640.0
2011-02-09,56727.0,136372.0,76259.0,38968.0
2011-02-10,11017.0,106910.0,97344.0,9491.0
2011-02-11,86898.0,77823.0,31688.0,33043.0
2011-02-14,78975.0,78410.0,30905.0,34777.0
2011-02-15,85545.0,88067.0,31500.0,42885.0
2011-02-16,89194.0,90525.0,43128.0,30418.0
2011-02-17,60407.0,80946.0,34501.0,22801.0
2011-02-18,87660.0,99154.0,34775.0,37448.0
2011-02-21,44009.0,51371.0,15774.0,21342.0
2011-02-22,72797.0,96375.0,34118.0,34123.0
2011-02-23,80835.0,115776.0,41215.0,41690.0
2011-02-24,97006.0,159226.0,56870.0,55065.0
2011-02-25,55242.0,89354.0,24533.0,28787.0
2011-02-28,40108.0,72835.0,25636.0,18955.0
2011-03-01,41385.0,84235.0,31197.0,16515.0
2011-03-02,50203.0,107114.0,37318.0,24827.0
2011-03-03,48992.0,111807.0,42299.0,23677.0
2011-03-04,32655.0,91667.0,38722.0,17033.0
2011-03-07,51362.0,123220.0,58781.0,31785.0
2011-03-08,53348.0,121373.0,46955.0,31993.0
2011-03-09,68539.0,122101.0,38451.0,45285.0
2011-03-10,14027.0,135265.0,86044.0,10837.0
2011-03-11,112505.0,84185.0,63314.0,46047.0
2011-03-14,106232.0,91045.0,66336.0,39186.0
2011-03-15,117351.0,106598.0,62600.0,40660.0
2011-03-16,124475.0,137998.0,94640.0,55476.0
2011-03-17,71029.0,82545.0,55221.0,30579.0
2011-03-18,74650.0,81284.0,55141.0,31645.0
2011-03-21,59332.0,64693.0,41684.0,28973.0
2011-03-22,62321.0,76278.0,40557.0,30740.0
2011-03-23,65837.0,84294.0,58707.0,35577.0
2011-03-24,62671.0,83847.0,46254.0,27726.0
2011-03-25,40033.0,60308.0,31158.0,19699.0
2011-03-28,47303.0,65159.0,30390.0,23508.0
2011-03-29,44699.0,73208.0,35018.0,21099.0
2011-03-30,41775.0,71136.0,38383.0,20101.0
2011-03-31,61057.0,103602.0,56404.0,37993.0
2011-04-01,41169.0,82241.0,38981.0,22871.0
2011-04-04,51549.0,84441.0,44384.0,27700.0
2011-04-05,51497.0,89584.0,52875.0,29207.0
2011-04-06,35303.0,67394.0,37058.0,20400.0
2011-04-07,49919.0,86329.0,49607.0,28379.0
2011-04-08,74437.0,138012.0,76016.0,54422.0
2011-04-11,68346.0,145959.0,86574.0,49989.0
2011-04-12,12466.0,174012.0,158759.0,9230.0
2011-04-13,88518.0,102609.0,28116.0,41866.0
2011-04-14,64211.0,81043.0,22380.0,28531.0
2011-04-15,52778.0,64261.0,18063.0,19475.0
2011-04-18,51726.0,66626.0,16515.0,20946.0
2011-04-19,65839.0,84931.0,22827.0,29361.0
2011-04-20,43650.0,61957.0,21071.0,15296.0
2011-04-21,43215.0,51378.0,15957.0,15703.0
2011-04-25,14231.0,26684.0,6851.0,4744.0
2011-04-26,34867.0,51417.0,9181.0,12227.0
2011-04-27,53551.0,83640.0,16738.0,25053.0
2011-04-28,54963.0,92090.0,27912.0,24963.0
2011-04-29,19552.0,35754.0,11225.0,9296.0
2011-05-02,17510.0,46217.0,10158.0,6626.0
2011-05-03,42954.0,76323.0,23141.0,16101.0
2011-05-04,47508.0,105762.0,33472.0,19450.0
2011-05-05,67764.0,168497.0,51047.0,32364.0
2011-05-06,59002.0,181372.0,37066.0,36913.0
2011-05-09,43502.0,129394.0,43814.0,22807.0
2011-05-10,36644.0,146059.0,55221.0,22095.0
2011-05-11,48173.0,136181.0,54096.0,37544.0
2011-05-12,8421.0,120825.0,63468.0,7695.0
2011-05-13,75227.0,46827.0,16861.0,19864.0
2011-05-16,70695.0,63915.0,29487.0,24468.0
2011-05-17,77073.0,66655.0,23533.0,21807.0
2011-05-18,80518.0,90787.0,28217.0,40872.0
2011-05-19,48316.0,51705.0,18417.0,12952.0
2011-05-20,68745.0,76322.0,20875.0,29287.0
2011-05-23,40630.0,49559.0,16194.0,7817.0
2011-05-24,39938.0,50221.0,10061.0,10621.0
2011-05-25,62377.0,88904.0,36131.0,26051.0
2011-05-26,39640.0,65160.0,19492.0,11277.0
2011-05-27,44094.0,62211.0,20485.0,20522.0
2011-05-30,6838.0,6603.0,653.0,2696.0
2011-05-31,42760.0,70945.0,19866.0,11897.0
2011-06-01,34930.0,77377.0,26026.0,12822.0
2011-06-02,43221.0,81917.0,22145.0,18910.0
2011-06-03,37837.0,92476.0,32739.0,14372.0
2011-06-06,46405.0,82604.0,21683.0,26360.0
2011-06-07,56493.0,100357.0,32095.0,31499.0
2011-06-08,73233.0,127753.0,34884.0,45581.0
2011-06-09,39568.0,97047.0,28968.0,27072.0
2011-06-10,13247.0,100004.0,42906.0,12242.0
2011-06-13,60595.0,38304.0,18444.0,13300.0
2011-06-14,76765.0,55194.0,21542.0,26189.0
2011-06-15,77297.0,68177.0,14132.0,24170.0
2011-06-16,76968.0,75199.0,23976.0,27099.0
2011-06-17,71239.0,69110.0,22694.0,25802.0
2011-06-20,51873.0,46180.0,14571.0,12384.0
2011-06-21,72837.0,76409.0,25035.0,20121.0
2011-06-22,75037.0,91731.0,37659.0,25726.0
2011-06-23,94634.0,126085.0,47190.0,36156.0
2011-06-24,59365.0,97506.0,47434.0,22871.0
2011-06-27,55846.0,79589.0,27518.0,24290.0
2011-06-28,81928.0,107533.0,51623.0,38575.0
2011-06-29,49907.0,87923.0,33834.0,20361.0
2011-06-30,58508.0,91246.0,32989.0,32974.0
2011-07-01,40416.0,75675.0,23257.0,19089.0
2011-07-04,19731.0,25048.0,5740.0,11196.0
2011-07-05,49810.0,72924.0,28617.0,20493.0
2011-07-06,44439.0,83169.0,42701.0,21705.0
2011-07-07,44580.0,104821.0,46437.0,22561.0
2011-07-08,41597.0,101549.0,37498.0,20908.0
2011-07-11,68133.0,145777.0,66081.0,52167.0
2011-07-12,14483.0,104915.0,61650.0,10712.0
2011-07-13,77026.0,58784.0,20082.0,20989.0
2011-07-14,70843.0,67395.0,14551.0,31410.0
2011-07-15,57162.0,54352.0,15981.0,24106.0
2011-07-18,45513.0,38900.0,10777.0,15427.0
2011-07-19,79166.0,81897.0,34557.0,40184.0
2011-07-20,50641.0,51687.0,16515.0,21724.0
2011-07-21,55813.0,48089.0,13225.0,18766.0
2011-07-22,43295.0,52605.0,17296.0,19990.0
2011-07-25,29345.0,35699.0,10612.0,7003.0
2011-07-26,42523.0,63949.0,17874.0,14784.0
2011-07-27,28323.0,52598.0,17198.0,6346.0
2011-07-28,82525.0,109577.0,37738.0,47303.0
2011-07-29,50811.0,103924.0,43057.0,26560.0
2011-08-01,64327.0,145247.0,37035.0,32847.0
2011-08-02,45380.0,85728.0,27169.0,21163.0
2011-08-03,63907.0,137203.0,52999.0,37610.0
2011-08-04,75000.0,169434.0,67951.0,37964.0
2011-08-05,50616.0,139939.0,58640.0,26288.0
2011-08-08,38910.0,120281.0,50133.0,20431.0
2011-08-09,41477.0,134416.0,45390.0,22765.0
2011-08-10,31937.0,147586.0,74464.0,23515.0
2011-08-11,4693.0,125431.0,83263.0,4279.0
2011-08-12,78699.0,51631.0,31174.0,24113.0
2011-08-15,62043.0,42109.0,19005.0,18852.0
2011-08-16,64398.0,55197.0,19536.0,22455.0
2011-08-17,72871.0,69044.0,28126.0,27010.0
2011-08-18,67849.0,68739.0,28278.0,22001.0
2011-08-19,68888.0,63688.0,21071.0,24175.0
2011-08-22,70907.0,91712.0,41816.0,31821.0
2011-08-23,74461.0,89097.0,54221.0,27511.0
2011-08-24,67760.0,89561.0,43197.0,34572.0
2011-08-25,51219.0,81699.0,41904.0,20931.0
2011-08-26,40609.0,66163.0,31207.0,18747.0
2011-08-29,21320.0,41798.0,10944.0,11995.0
2011-08-30,46533.0,75496.0,39945.0,20834.0
2011-08-31,59476.0,98761.0,48164.0,35705.0
2011-09-01,66358.0,118972.0,54245.0,41099.0
2011-09-02,45829.0,116063.0,56561.0,27836.0
2011-09-05,18909.0,37304.0,14784.0,11048.0
2011-09-06,38406.0,97567.0,46134.0,24834.0
2011-09-07,34910.0,96502.0,51280.0,20805.0
2011-09-08,38279.0,112015.0,61922.0,24005.0
2011-09-09,33746.0,99159.0,38748.0,22450.0
2011-09-12,7142.0,96753.0,65853.0,6131.0
2011-09-13,105067.0,79374.0,65122.0,40017.0
2011-09-14,69285.0,66482.0,47153.0,26278.0
2011-09-15,98121.0,97394.0,68125.0,46920.0
2011-09-16,72801.0,66712.0,53779.0,30068.0
2011-09-19,56096.0,51394.0,34344.0,17309.0
2011-09-20,51224.0,51619.0,35539.0,16771.0
2011-09-21,62062.0,78679.0,54556.0,23888.0
2011-09-22,94172.0,104980.0,78925.0,33396.0
2011-09-23,69529.0,83219.0,55645.0,24706.0
2011-09-26,56068.0,74312.0,53765.0,20351.0
2011-09-27,59311.0,94418.0,64803.0,28727.0
2011-09-28,57393.0,111245.0,75338.0,27650.0
2011-09-29,53146.0,97003.0,69934.0,24473.0
2011-09-30,51236.0,91501.0,61618.0,24391.0
2011-10-03,51588.0,87131.0,55757.0,27492.0
2011-10-04,56934.0,115523.0,86149.0,29688.0
2011-10-05,55915.0,111338.0,84795.0,32710.0
2011-10-06,49379.0,109478.0,74969.0,27239.0
2011-10-07,44492.0,97678.0,63950.0,25428.0
2011-10-10,43155.0,107478.0,81839.0,27043.0
2011-10-11,50734.0,140674.0,127264.0,36287.0
2011-10-12,11833.0,113708.0,112365.0,10330.0
2011-10-13,107216.0,117851.0,50755.0,56326.0
2011-10-14,92486.0,127374.0,70277.0,46900.0
2011-10-17,80502.0,107798.0,49835.0,42267.0
2011-10-18,98643.0,137047.0,69402.0,57503.0
2011-10-19,68444.0,100451.0,45161.0,32154.0
2011-10-20,66052.0,98338.0,43250.0,28067.0
2011-10-21,63463.0,91230.0,40043.0,29332.0
2011-10-24,57392.0,78971.0,39812.0,27732.0
2011-10-25,63873.0,103372.0,37506.0,25923.0
2011-10-26,46498.0,79871.0,24606.0,22621.0
2011-10-27,58972.0,100652.0,40511.0,30895.0
2011-10-28,49639.0,91957.0,42479.0,26048.0
2011-10-31,51298.0,90994.0,34669.0,28852.0
2011-11-01,45867.0,103506.0,34476.0,24708.0
2011-11-02,50878.0,122277.0,54769.0,31483.0
2011-11-03,44584.0,115355.0,59622.0,25822.0
2011-11-04,45776.0,104061.0,43199.0,33422.0
2011-11-07,36714.0,99947.0,51111.0,24731.0
2011-11-08,57001.0,142188.0,86012.0,38787.0
2011-11-09,43971.0,136764.0,85798.0,33879.0
2011-11-10,8412.0,127554.0,101436.0,7988.0
2011-11-11,86143.0,78559.0,39800.0,38019.0
2011-11-14,70702.0,61713.0,25948.0,26285.0
2011-11-15,82472.0,85329.0,36066.0,35821.0
2011-11-16,91401.0,87905.0,26499.0,39791.0
2011-11-17,95303.0,110424.0,39800.0,50803.0
2011-11-18,72055.0,72532.0,23990.0,28024.0
2011-11-21,74585.0,77356.0,28957.0,28288.0
2011-11-22,80880.0,93907.0,42532.0,37559.0
2011-11-23,53913.0,83954.0,23039.0,29152.0
2011-11-24,21896.0,25815.0,9863.0,10102.0
2011-11-25,33472.0,49588.0,18926.0,15116.0
2011-11-28,57010.0,96953.0,37581.0,28485.0
2011-11-29,66187.0,114337.0,41566.0,39160.0
2011-11-30,54504.0,99584.0,32065.0,30120.0
2011-12-01,62101.0,122699.0,48147.0,38824.0
2011-12-02,35402.0,83536.0,30792.0,21149.0
2011-12-05,49292.0,96841.0,39610.0,27689.0
2011-12-06,42302.0,82386.0,32852.0,26201.0
2011-12-07,46822.0,92811.0,34693.0,28071.0
2011-12-08,43237.0,104046.0,49595.0,23648.0
2011-12-09,48490.0,120419.0,51197.0,32529.0
2011-12-12,14185.0,87996.0,53902.0,10266.0
2011-12-13,87895.0,63170.0,30619.0,29011.0
2011-12-14,64711.0,44119.0,13922.0,15366.0
2011-12-15,59671.0,51259.0,22424.0,18838.0
2011-12-16,50262.0,52866.0,23253.0,19601.0
2011-12-19,45156.0,43627.0,25318.0,10975.0
2011-12-20,43207.0,48811.0,23355.0,13835.0
