,HO1 Comdty ,HO2 Comdty ,HO3 Comdty,S:HOHO 1-2 Comdty
5/2/11,47482,13977,6718,6882
5/3/11,55052,17614,11503,7749
5/4/11,61183,21497,13263,9236
5/5/11,97060,30870,18054,14963
5/6/11,85959,31710,13422,17598
5/9/11,73747,31013,13677,17312
5/10/11,59458,32731,14786,15078
5/11/11,66431,29699,12052,14973
5/12/11,64838,34021,14918,16712
5/13/11,43335,22489,9429,10451
5/16/11,50807,26368,11833,12644
5/17/11,62017,39819,18107,17834
5/18/11,45391,30270,12000,12728
5/19/11,33109,37852,8406,15022
5/20/11,24105,42000,7951,11881
5/23/11,26578,46384,12983,14634
5/24/11,26565,46861,10034,13278
5/25/11,28775,57815,15468,14573
5/26/11,27044,60806,13877,15412
5/27/11,30346,46965,9664,12525
5/31/11,13446,62525,15271,8892
6/1/11,58809,17807,8796,10041
6/2/11,57321,21078,16754,9254
6/3/11,55130,22349,11934,11640
6/6/11,51754,18872,11345,10280
6/7/11,60979,23465,15863,12773
6/8/11,59307,23071,14132,13148
6/9/11,50583,24543,16637,12186
6/10/11,41924,15707,11858,7963
6/13/11,48019,20272,9735,10811
6/14/11,48518,24712,10257,11219
6/15/11,66662,23690,11316,12160
6/16/11,51571,25552,11062,12722
6/17/11,41495,22578,9263,11690
6/20/11,36315,26999,9398,11718
6/21/11,45919,58819,16891,25016
6/22/11,34220,51370,13279,15247
6/23/11,38664,75245,19878,22530
6/24/11,28189,53306,12068,16287
6/27/11,28565,48923,10530,13592
6/28/11,22732,45031,13004,10020
6/29/11,23931,58645,15469,10745
6/30/11,10601,54573,21885,7552
7/1/11,45117,14147,6762,7637
7/5/11,47742,15871,7511,8476
7/6/11,35472,8911,3331,4573
7/7/11,64267,26626,18677,13004
7/8/11,62239,28032,13131,16151
7/11/11,48952,24392,11098,13821
7/12/11,52861,26839,12545,13220
7/13/11,56371,31803,10727,16242
7/14/11,49746,26492,13241,13479
7/15/11,37390,18004,9524,8559
7/18/11,40184,20454,8688,10028
7/19/11,30228,22797,7530,9231
7/20/11,33735,37528,9267,13233
7/21/11,22757,33067,8306,10830
7/22/11,22282,31119,6675,10214
7/25/11,29834,39156,11802,14912
7/26/11,29577,47787,11442,14358
7/27/11,25966,45155,13502,10607
7/28/11,23335,49905,13497,13296
7/29/11,10679,65483,22373,8273
8/1/11,68105,17402,7678,10495
8/2/11,47752,17967,7296,8323
8/3/11,58247,17560,8587,8908
8/4/11,74730,28699,14644,14870
8/5/11,66811,23292,13107,12382
8/8/11,68697,23320,12694,12881
8/9/11,79052,29862,17369,16283
8/10/11,77918,33194,15651,15223
8/11/11,66383,30321,17547,15076
8/12/11,49612,20761,10906,10789
8/15/11,48128,21464,10723,10547
8/16/11,42510,20803,11717,8114
8/17/11,47893,20764,11628,9915
8/18/11,59989,36625,12751,19070
8/19/11,39479,28394,8621,12376
8/22/11,31668,43380,14300,13926
8/23/11,30476,54225,19621,14491
8/24/11,26135,52586,16023,14371
8/25/11,23188,56148,23051,11983
8/26/11,27539,53979,13744,12344
8/29/11,16521,40800,8212,7592
8/30/11,22067,50895,13091,8676
8/31/11,8393,48122,11568,6805
9/1/11,52619,16255,19832,7470
9/2/11,54322,16307,14516,8847
9/6/11,64524,17503,15415,8857
9/7/11,55764,23396,15583,10252
9/8/11,53932,24202,17055,11493
9/9/11,58856,20946,16563,10081
9/12/11,55638,21975,18074,11563
9/13/11,74250,37515,27489,18967
9/14/11,56757,26929,17617,12921
9/15/11,56013,29240,20286,14072
9/16/11,51933,23344,15819,11662
9/19/11,42724,28876,17811,13481
9/20/11,34567,28244,13216,11330
9/21/11,44396,55952,23292,19835
9/22/11,43418,72682,32269,20900
9/23/11,35821,65957,24604,18115
9/26/11,33246,60451,28165,16863
9/27/11,34849,74186,34705,19722
9/28/11,26391,59023,27840,10410
9/29/11,18591,53761,21991,6988
9/30/11,8505,67603,35303,5851
10/3/11,56279,23161,15587,11417
10/4/11,63178,34662,18269,15571
10/5/11,61954,33333,22717,15308
10/6/11,66267,38800,23598,15322
10/7/11,48789,25274,13966,11634
10/10/11,52756,28956,16554,14598
10/11/11,63717,40374,24673,20071
10/12/11,51106,32337,20792,13976
10/13/11,60414,45654,23677,18063
10/14/11,55761,41767,20477,17949
10/17/11,47294,38290,19260,16650
10/18/11,53776,54536,28834,19712
10/19/11,40578,52096,26182,15694
10/20/11,35823,51213,16212,16633
10/21/11,28307,50906,22436,14560
10/24/11,23799,47617,22064,12476
10/25/11,29021,60388,20474,14143
10/26/11,33195,64998,23169,17785
10/27/11,28837,67292,22149,12740
10/28/11,19583,55835,20718,9151
10/31/11,12644,51345,16785,8484
11/1/11,66828,22394,10989,12242
11/2/11,74438,37891,18536,18901
11/3/11,57869,22229,13233,10037
11/4/11,37951,12888,7104,6751
11/7/11,51748,22631,9443,11596
11/8/11,75791,43648,25594,21226
11/9/11,65037,39047,19939,17443
11/10/11,69303,50074,24916,21303
11/11/11,49930,29201,15354,12825
11/14/11,47593,25433,10784,11939
11/15/11,52775,33814,17053,17662
11/16/11,75197,55404,23878,23380
11/17/11,60358,53400,25091,22267
11/18/11,48111,46909,17668,18898
11/21/11,43183,61467,25998,19418
11/22/11,44008,65599,22735,20685
11/23/11,30452,56917,18801,14336
11/25/11,16511,31753,10364,7936
11/28/11,35219,65721,20964,16089
11/29/11,33338,65516,22678,12214
11/30/11,11847,69945,27152,6480
12/1/11,82973,37734,24652,20163
12/2/11,53262,21533,15073,11813
12/5/11,54232,15737,11687,7921
12/6/11,44872,18475,14513,9596
12/7/11,55375,25933,24006,11069
12/8/11,63286,25879,20137,12278
12/9/11,62986,28724,19177,15263
12/12/11,52060,22466,15420,13411
12/13/11,65785,29611,18111,14367
12/14/11,61297,27253,19087,13470
12/15/11,61555,40125,22676,19403
12/16/11,55975,41729,18855,17746
12/19/11,40592,38217,16752,14874
12/20/11,35325,41652,16854,12847
12/21/11,30834,44741,21233,11923
12/22/11,27725,39940,18047,12288
12/23/11,19338,30784,8676,9096
12/27/11,26839,38799,11853,11357
12/28/11,24706,46037,13143,10388
12/29/11,28538,42564,14562,9944
12/30/11,7369,45294,12274,4334
1/3/12,62573,28161,12397,13839
1/4/12,75091,34281,21965,18710
1/5/12,80942,35143,19880,19756
1/6/12,60485,29845,17605,13855
1/9/12,55441,26335,19979,12936
1/10/12,67288,37505,22302,17230
1/11/12,72185,38172,21123,18099
1/12/12,63006,26385,14382,12915
1/13/12,55649,33065,19304,13113
1/17/12,63004,46771,22163,18756
1/18/12,78248,66805,29002,28410
1/19/12,37984,37908,17037,13219
1/20/12,38285,48461,16787,15240
1/23/12,26517,42576,16121,12662
1/24/12,31408,68515,30161,15248
1/25/12,32343,77131,24147,17162
1/26/12,28847,60389,14640,12105
1/27/12,27404,70817,24163,14581
1/30/12,27533,70026,18001,11039
1/31/12,9590,61170,20538,6299
2/1/12,65774,26476,15738,14193
2/2/12,61641,28216,18433,13408
2/3/12,64351,22500,14852,11463
2/6/12,72627,31782,23951,15319
2/7/12,86416,39967,31135,21292
2/8/12,72249,33311,21948,15879
2/9/12,59174,33162,24603,14620
2/10/12,64732,30128,20655,15367
2/13/12,63639,36547,17868,17081
2/14/12,55906,31840,16568,13716
2/15/12,55258,40763,19806,16217
2/16/12,52917,40785,20419,17098
2/17/12,39088,38789,13918,16664
2/21/12,41939,58271,23144,21859
2/22/12,37901,60407,25567,18580
2/23/12,38788,73544,24747,18449
2/24/12,36866,62664,19167,17812
2/27/12,24124,50161,15152,10974
2/28/12,28789,64296,21029,11789
2/29/12,10571,96465,45846,7261
3/1/12,87711,44418,44078,23438
3/2/12,59174,29007,28219,15138
3/5/12,42128,18896,16976,9314
3/6/12,51764,24320,24848,12107
3/7/12,61203,29377,32809,13185
3/8/12,57460,32023,38210,13983
3/9/12,44779,18889,21672,9359
3/12/12,38040,18022,15782,9300
3/13/12,39046,24994,16121,11186
3/14/12,52085,28790,20960,13102
3/15/12,60503,29106,21304,15294
3/16/12,48797,28063,15737,13763
3/19/12,48046,43082,31238,20438
3/20/12,46315,40009,23306,17230
3/21/12,35568,42858,23935,15467
3/22/12,33897,53690,27072,17625
3/23/12,33869,55814,21455,18583
3/26/12,38818,55415,23970,20494
3/27/12,28049,49721,21182,13206
3/28/12,21133,54611,27748,11347
3/29/12,16863,63549,35117,7737
3/30/12,7120,64400,28904,5120
4/2/12,60350,27721,14455,12336
4/3/12,53227,25904,14064,11046
4/4/12,61755,25990,13384,11842
4/5/12,54487,21133,12150,10169
4/9/12,39401,17182,10711,8256
4/10/12,59812,27387,15628,11277
4/11/12,63184,42482,21524,17051
4/12/12,55413,42872,21599,14738
4/13/12,62550,50450,20056,21042
4/16/12,54926,40538,15187,16864
4/17/12,43422,35317,13886,13543
4/18/12,42891,37527,16181,12446
4/19/12,39559,53872,19935,16085
4/20/12,26937,43132,12886,11279
4/23/12,25746,50747,19372,14142
4/24/12,31428,52346,15931,16632
4/25/12,30766,65599,16768,15919
4/26/12,23597,69291,19447,12465
4/27/12,18439,70584,24142,9439
4/30/12,10044,47095,14486,8374
5/1/12,54670,16540,10685,8698
5/2/12,73120,25330,11139,13745
5/3/12,65626,22651,14158,11198
5/4/12,81202,22710,14670,11121
5/7/12,61582,23888,11643,12101
5/8/12,64631,28485,12890,11903
5/9/12,61478,25898,10981,11733
5/10/12,48175,24732,10909,11000
5/11/12,42251,18903,9866,8542
5/14/12,57243,29576,11971,14377
5/15/12,57809,32423,12820,14495
5/16/12,56482,33672,12413,15620
5/17/12,58274,33448,12490,16776
5/18/12,46664,34264,12550,13793
5/21/12,41051,39546,13187,14911
5/22/12,31281,44990,11178,16262
5/23/12,40056,56135,18583,20561
5/24/12,26990,52731,10016,14891
5/25/12,23935,39787,9036,12121
5/29/12,19779,51677,12300,9583
5/30/12,31438,71974,21269,13282
5/31/12,11952,71272,21385,10714
6/1/12,77637,25763,15768,13777
6/4/12,59042,18253,11211,9053
6/5/12,43993,18158,11320,8710
6/6/12,71319,25507,22550,12058
6/7/12,73855,36650,26001,17826
6/8/12,79963,42932,33515,22670
6/11/12,60485,26694,19121,14441
6/12/12,63189,29676,23277,14221
6/13/12,70014,35467,23365,15504
6/14/12,47638,24505,16100,12620
6/15/12,43514,25183,17560,11295
6/18/12,59739,40800,17874,20420
6/19/12,60867,55362,28339,28994
6/20/12,51894,57105,18966,24139
6/21/12,44375,55427,19464,21675
6/22/12,35235,50972,16877,17171
6/25/12,34150,52328,23398,17126
6/26/12,32005,56704,22748,14135
6/27/12,26579,62934,22312,13086
6/28/12,22106,63338,21198,10494
6/29/12,6067,71150,25446,4482
7/2/12,65547,23317,11626,10962
7/3/12,63409,25878,13549,13100
7/5/12,54531,25947,13021,12216
7/6/12,52752,18605,11390,9322
7/9/12,51072,18390,9293,9277
7/10/12,49982,27622,11169,14314
7/11/12,58605,34437,16080,16051
7/12/12,48434,27536,14724,12863
7/13/12,59252,35242,14675,17549
7/16/12,51254,33108,16067,15101
7/17/12,50218,29430,11995,14395
7/18/12,47443,30050,15366,12998
7/19/12,40717,37686,14495,13989
7/20/12,37601,45046,18734,15600
7/23/12,33879,56161,16949,15923
7/24/12,29961,60152,13785,16763
7/25/12,34803,56660,14309,16603
7/26/12,24976,60358,17737,13071
7/27/12,19519,50030,14851,9403
7/30/12,22077,55451,24780,10199
7/31/12,6987,73390,32828,5343
8/1/12,58775,24207,16409,11844
8/2/12,65773,31489,16429,14939
8/3/12,60250,20389,11482,9895
8/6/12,45559,17195,9727,9614
8/7/12,52218,23521,16125,11606
8/8/12,53014,25409,18053,12564
8/9/12,56740,32466,19252,14938
8/10/12,51195,24002,18493,10656
8/13/12,53939,29772,20088,12256
8/14/12,38081,15619,8926,7668
8/15/12,57139,33361,22542,15130
8/16/12,52285,37107,19160,15825
8/17/12,42832,29092,14860,13217
8/20/12,32606,20601,7529,9248
8/21/12,34133,31168,12037,12140
8/22/12,41010,43436,14182,16376
8/23/12,32951,45431,13301,15430
8/24/12,33318,54426,16974,18379
8/27/12,41290,79661,37912,23120
8/28/12,27634,52653,22565,14497
8/29/12,15446,46833,16533,8795
8/30/12,17615,53157,23127,8901
8/31/12,5642,58791,21824,5261
9/4/12,64536,23135,17619,12532
9/5/12,56161,19858,20124,11342
9/6/12,67031,30276,31903,14886
9/7/12,62380,24963,23915,12118
9/10/12,55808,26515,23126,13050
9/11/12,51195,24680,22362,12081
9/12/12,56297,32810,27809,15323
9/13/12,62347,35865,27439,18031
9/14/12,52400,26593,24794,11920
9/17/12,58246,38029,24526,17733
9/18/12,52800,25355,14841,13090
9/19/12,53752,50736,24586,21650
9/20/12,44322,61605,27874,21126
9/21/12,34294,53021,26420,17795
9/24/12,31741,54016,23437,18269
9/25/12,30583,61115,33502,18251
9/26/12,22815,76839,42503,12253
9/27/12,17873,62528,28398,9333
9/28/12,9444,64954,29379,7795
10/1/12,57568,34786,22203,16110
10/2/12,54190,26756,16454,12039
10/3/12,82818,55860,27223,25825
10/4/12,73627,53039,30630,25734
10/5/12,59092,42859,26932,19822
10/8/12,51708,32881,21418,14910
10/9/12,66595,39879,27217,17707
10/10/12,69078,49358,27887,23685
10/11/12,56441,46205,30074,21854
10/12/12,55508,42038,22559,21804
10/15/12,55415,52478,28125,22262
10/16/12,50465,46031,24240,18584
10/17/12,45856,40660,26004,16586
10/18/12,48908,51769,24140,24665
10/19/12,40920,44740,21644,15550
10/22/12,46745,86603,31952,25198
10/23/12,41196,84331,32146,23058
10/24/12,26889,59538,21553,14759
10/25/12,24157,59530,24363,13275
10/26/12,37002,87324,31477,20806
10/29/12,18545,62408,31115,11006
10/30/12,13095,57521,32630,7087
10/31/12,10946,79435,45432,6640
11/1/12,83963,48649,37289,22328
11/2/12,89277,47342,33929,23709
11/5/12,60734,28992,21283,13815
11/6/12,67267,35486,21484,16069
11/7/12,61756,36437,25313,16542
11/8/12,50656,24357,14512,12378
11/9/12,46986,24008,13981,11338
11/12/12,44079,23375,13107,12293
11/13/12,55235,36528,19804,17712
11/14/12,34719,15411,8146,7752
11/15/12,43112,30467,13462,13200
11/16/12,43073,34254,16173,16453
11/19/12,46505,47267,20186,18843
11/20/12,40682,57560,24639,20205
11/21/12,32246,47592,20356,12828
11/23/12,9076,18692,5446,3985
11/26/12,38291,56705,18801,20265
11/27/12,41376,66017,21417,22422
11/28/12,24160,56364,18236,12020
11/29/12,19461,55258,17487,9869
11/30/12,8716,54475,21827,7579
12/3/12,53325,24729,17851,12842
12/4/12,61382,25766,18388,13163
12/5/12,53973,26150,17447,13335
12/6/12,55776,26260,16736,11303
12/7/12,65516,29134,20073,14063
12/10/12,54557,26417,16474,14223
12/11/12,54119,28739,21652,14914
12/12/12,76255,54349,37030,26227
12/13/12,69327,46963,31670,21265
12/14/12,50683,33744,17610,17199
12/17/12,44058,30021,14878,16737
12/18/12,42368,33564,14436,16564
12/19/12,35411,36443,14855,15342
12/20/12,42673,55461,24576,19579
12/21/12,33781,43522,19881,16932
12/24/12,18639,22661,6577,8740
12/26/12,22482,34132,9301,9243
12/27/12,27446,42458,15553,12554
12/28/12,21858,56326,27017,11393
12/31/12,4043,35426,16036,3691
1/2/13,47388,23658,12086,13426
1/3/13,60441,35351,21133,17684
1/4/13,68133,43613,22684,22541
1/7/13,50996,28353,17058,13782
1/8/13,60832,40836,26722,19381
1/9/13,51754,35573,17679,16150
1/10/13,105926,91198,62867,39317
1/11/13,69696,48397,27139,21934
1/14/13,61868,40761,18602,19007
1/15/13,59365,46905,26982,18096
1/16/13,49687,38681,21283,16369
1/17/13,48293,43126,21691,17243
1/18/13,43392,35843,20778,15742
1/22/13,43026,47600,21813,16136
1/23/13,28837,42466,15619,12091
1/24/13,36723,52862,28528,17130
1/25/13,32416,55048,26434,15798
1/28/13,28617,59135,26945,14151
1/29/13,28294,61451,22550,13846
1/30/13,23577,54596,26893,10081
1/31/13,9033,54068,25652,7419
2/1/13,53911,21965,9054,12515
2/4/13,63382,38711,18592,19444
2/5/13,73654,42598,25070,18641
2/6/13,58390,32105,17733,16211
2/7/13,59465,33121,24265,16485
2/8/13,57195,28775,18671,15156
2/11/13,50625,27390,14590,14835
2/12/13,52985,31389,18385,17066
2/13/13,57921,44985,23805,21856
2/14/13,43611,32965,17744,16640
2/15/13,56220,41655,18226,21017
2/19/13,49494,57151,17483,25955
2/20/13,36255,50662,18090,16045
2/21/13,30015,46173,20307,15557
2/22/13,27559,45804,13299,13568
2/25/13,28409,49556,17806,14180
2/26/13,25019,67068,35462,12391
2/27/13,21482,70736,33435,10185
2/28/13,10658,61480,30757,7461
3/1/13,60725,34023,28137,16280
3/4/13,52543,26142,21593,12380
3/5/13,57325,31458,24968,14549
3/6/13,66474,36269,27323,16299
3/7/13,56735,33661,27402,17909
3/8/13,52336,31876,20604,14997
3/11/13,44450,28271,18095,13872
3/12/13,57370,47530,31405,19731
3/13/13,54678,39728,33306,16584
3/14/13,44106,35588,22805,15242
3/15/13,35325,25151,14972,10292
3/18/13,39508,32251,22751,14139
3/19/13,42186,62574,44979,18717
3/20/13,24690,40215,18759,12497
3/21/13,28303,44660,21394,14011
3/22/13,27379,39308,16030,12908
3/25/13,31803,52787,23679,15637
3/26/13,23815,46470,25703,10632
3/27/13,20111,54403,30206,6845
3/28/13,5903,51576,24644,5108
4/1/13,46701,27283,14095,13220
4/2/13,50279,31563,13758,11779
4/3/13,62661,33334,15406,15947
4/4/13,62271,44861,18884,18126
4/5/13,63238,46195,21856,17428
4/8/13,62223,45946,21437,18914
4/9/13,50621,37317,18015,17169
4/10/13,39880,33166,15483,13445
4/11/13,54979,48965,22103,18484
4/12/13,56018,45920,19986,17989
4/15/13,47846,34072,15367,13889
4/16/13,45547,37835,14620,14845
4/17/13,47333,46146,20147,17198
4/18/13,39537,42569,20214,14635
4/19/13,34164,41111,11929,12864
4/22/13,23721,39859,10655,10169
4/23/13,25354,46288,13982,11042
4/24/13,27485,50194,13657,12864
4/25/13,33250,62870,19735,15843
4/26/13,26949,70136,25452,13090
4/29/13,21978,46582,12155,9858
4/30/13,9584,60074,19453,8518
5/1/13,59188,19988,12760,10683
5/2/13,57281,23657,11550,11753
5/3/13,57457,22767,12638,10933
5/6/13,49783,21289,8753,10434
5/7/13,62590,33377,19655,17582
5/8/13,65737,34829,16627,18565
5/9/13,57605,33942,18597,17201
5/10/13,55909,22332,11573,10364
5/13/13,54890,29025,14667,12577
5/14/13,45536,20651,11236,9567
5/15/13,59086,34747,17164,16384
5/16/13,54224,34503,16699,15721
5/17/13,50053,31269,12317,15033
5/20/13,36004,27633,9011,11693
5/21/13,35871,39849,11712,16253
5/22/13,44147,60745,16769,19383
5/23/13,39336,64350,26171,18814
5/24/13,31186,43637,10374,14416
5/28/13,27008,49671,11946,12489
5/29/13,23180,58425,17256,11645
5/30/13,19492,66803,19553,9155
5/31/13,8470,81682,27766,7917
6/3/13,68538,27205,14655,14613
6/4/13,65908,29332,14935,15303
6/5/13,57649,25012,13556,14305
6/6/13,50999,25127,12986,11350
6/7/13,66171,31652,18490,16274
6/10/13,44488,23738,13828,12776
6/11/13,53421,25248,14847,12628
6/12/13,52136,26451,17125,12034
6/13/13,70091,44808,22723,20472
6/14/13,56340,30148,13739,15645
6/17/13,35528,18105,9327,7702
6/18/13,31709,21693,8395,9840
6/19/13,39455,28712,11301,11621
6/20/13,33029,48259,13978,14882
6/21/13,38133,64566,23290,19882
6/24/13,36491,62569,27310,15203
6/25/13,34108,63527,24990,16087
6/26/13,23582,51164,17996,10552
6/27/13,21209,49021,14912,8036
6/28/13,7697,60073,20308,6370
7/1/13,47120,17794,9831,8791
7/2/13,46050,16351,7918,8990
7/3/13,52215,18049,13027,8054
7/5/13,50225,18048,12061,8197
7/8/13,51886,23638,9843,10760
7/9/13,46458,22928,9861,12336
7/10/13,53150,30706,15153,13012
7/11/13,49753,32777,13122,14777
7/12/13,64217,40665,17220,19866
7/15/13,42986,29693,16769,11975
7/16/13,48704,34313,12117,13267
7/17/13,45817,35249,13724,15698
7/18/13,49835,42972,21045,16587
7/19/13,41776,37946,13620,15220
7/22/13,35010,50255,17482,15892
7/23/13,27533,41915,15087,10916
7/24/13,31006,53714,17346,14486
7/25/13,28962,51981,11609,13270
7/26/13,25229,45053,10355,11136
7/29/13,20786,42843,11077,9587
7/30/13,17569,39927,9608,6753
7/31/13,6088,63811,20082,4783
8/1/13,44411,17329,11178,8695
8/2/13,44947,17229,11313,8059
8/5/13,44220,17956,12003,7862
8/6/13,60207,27329,15352,12515
8/7/13,66260,38723,21138,18986
8/8/13,53080,25435,12205,12783
8/9/13,55920,26274,11781,15135
8/12/13,47063,24014,12445,13785
8/13/13,47502,23781,14339,11545
8/14/13,35308,19151,8398,8635
8/15/13,34757,18399,7872,8732
8/16/13,39974,20230,8552,9904
8/19/13,45432,35442,11108,18034
8/20/13,39266,36902,13270,15784
8/21/13,28534,36676,11501,11764
8/22/13,28400,39510,9757,11830
8/23/13,28805,48215,12261,14983
8/26/13,22084,37998,9543,10131
8/27/13,24992,52353,11870,13549
8/28/13,19804,46633,13849,8606
8/29/13,14816,46400,13016,6567
8/30/13,4368,52018,16628,4131
9/3/13,54235,18635,21656,8672
9/4/13,36553,13834,14003,6237
9/5/13,39980,14473,13767,7220
9/6/13,42107,18922,14122,8873
9/9/13,48815,19533,10505,11204
9/10/13,55807,24653,14894,13370
9/11/13,45899,24421,16430,12797
9/12/13,44173,26567,17230,13024
9/13/13,41265,20574,13787,10305
9/16/13,48881,29306,17422,13066
9/17/13,62839,45973,30284,19271
9/18/13,43470,27513,21848,11973
9/19/13,36293,34218,16582,12890
9/20/13,25844,36346,15826,10124
9/23/13,34397,54836,25899,18364
9/24/13,38208,64304,26676,19980
9/25/13,26192,51835,16800,15657
9/26/13,19369,49352,16388,9724
9/27/13,25556,56283,20080,10054
9/30/13,8056,53116,20972,6430
10/1/13,63227,25502,13338,13818
10/2/13,51866,24108,11689,10231
10/3/13,59813,31117,19100,14795
10/4/13,47129,24230,13374,11098
10/7/13,59905,28255,16218,14450
10/8/13,45714,26614,15536,11367
10/9/13,55458,27622,13681,13114
10/10/13,61395,43160,19320,19652
10/11/13,64010,41001,24211,16998
10/14/13,38570,19242,10355,8002
10/15/13,42040,22151,12288,10133
10/16/13,60471,43004,21207,17795
10/17/13,56376,48757,25919,18464
10/18/13,44684,42368,19913,15582
10/21/13,34267,30050,13617,11142
10/22/13,33482,45134,13080,12987
10/23/13,28736,72934,21248,14601
10/24/13,23328,61227,16445,12575
10/25/13,23712,50751,10086,12026
10/28/13,22240,62716,13490,13238
10/29/13,14056,48545,12966,5826
10/30/13,20373,55494,15529,7956
10/31/13,7018,55554,13015,5935
11/1/13,71866,25068,14406,11913
11/4/13,58140,25955,16411,12075
11/5/13,52599,20124,14256,9754
11/6/13,62641,30034,13939,17766
11/7/13,56633,24940,13904,12377
11/8/13,56120,22827,10367,11959
11/11/13,49559,19334,9747,11368
11/12/13,61441,27206,15212,13144
11/13/13,54997,25879,14236,12349
11/14/13,52879,27212,14568,13480
11/15/13,47589,23409,13386,11087
11/18/13,41715,22149,9819,10039
11/19/13,36286,34923,9860,15173
11/20/13,33140,50005,18655,14928
11/21/13,38083,60586,17405,19139
11/22/13,34899,62642,19981,15851
11/25/13,43368,66797,14974,17338
11/26/13,27198,54002,17813,12012
11/27/13,21619,62277,22953,9607
11/29/13,3184,31364,6411,3038
12/2/13,61424,21154,16722,10743
12/3/13,54326,24088,14061,11926
12/4/13,46696,20408,12349,10429
12/5/13,43109,17790,11571,7248
12/6/13,48956,19814,12182,10251
12/9/13,53035,21415,14666,12280
12/10/13,57643,22013,13259,11492
12/11/13,56954,23063,13562,12698
12/12/13,58603,24467,15279,12247
12/13/13,53525,26824,15639,12269
12/16/13,59290,28751,14190,15665
12/17/13,51434,27673,12610,13295
12/18/13,47891,39297,16031,16775
12/19/13,39042,43140,16333,15959
12/20/13,35145,46907,17788,13988
12/23/13,29999,42364,13352,13836
12/24/13,15228,20444,5173,5442
12/26/13,20598,36146,10025,10581
12/27/13,20916,50692,17356,8963
12/30/13,21561,56514,19473,8756
12/31/13,4077,37165,11879,3921
1/2/14,65568,23272,12003,11834
1/3/14,71232,31886,16630,16662
1/6/14,68648,31581,16821,15928
1/7/14,54481,31675,19567,14556
1/8/14,48686,25526,13285,12772
1/9/14,60586,37001,14398,17523
1/10/14,64067,32957,10138,18519
1/13/14,56858,36458,20775,14835
1/14/14,55726,42026,23849,17763
1/15/14,74213,63090,33935,27920
1/16/14,69513,55117,27114,23199
1/17/14,59831,56893,21664,29058
1/21/14,47384,75009,33400,24049
1/22/14,36145,56208,25130,16146
1/23/14,30822,65451,24210,14691
1/24/14,27001,73889,31121,14122
1/27/14,31643,73246,29835,16675
1/28/14,26078,63904,29084,14021
1/29/14,25476,65981,31730,11344
1/30/14,15657,54614,27979,6945
1/31/14,7259,78471,34426,5566
2/3/14,72566,34527,16819,18724
2/4/14,61612,36645,20421,18336
2/5/14,56054,37786,22661,17995
2/6/14,55230,33003,19798,17046
2/7/14,61804,32135,20539,15532
2/10/14,74321,49321,28798,22593
2/11/14,55272,42035,22164,19158
2/12/14,69739,52599,33040,24732
2/13/14,41804,31726,15942,14144
2/14/14,57768,45638,22656,22848
2/18/14,52521,46732,23726,21255
2/19/14,40663,48269,24443,15610
2/20/14,38891,62905,29008,21749
2/21/14,40661,68823,35784,20581
2/24/14,39043,51744,18436,20720
2/25/14,31564,52715,22451,17244
2/26/14,23298,56249,28821,10374
2/27/14,22529,64611,27147,11728
2/28/14,7755,54931,23412,6432
3/3/14,63206,29352,22357,15058
3/4/14,62998,38250,22349,18861
3/5/14,56029,30101,21968,13952
3/6/14,56477,31470,22848,14665
3/7/14,47389,27741,14793,11207
3/10/14,69065,48894,25967,24578
3/11/14,51769,37804,25288,18034
3/12/14,59966,48821,31573,23368
3/13/14,46569,33251,23673,14706
3/14/14,48843,34472,19051,15198
3/17/14,46669,33574,19682,15817
3/18/14,43119,32735,18773,13489
3/19/14,28669,35434,24308,12215
3/20/14,23417,33914,18809,8474
3/21/14,21706,34943,13848,9149
3/24/14,32281,43431,16990,16086
3/25/14,27388,42818,20282,13769
3/26/14,24935,44203,16943,12221
3/27/14,25462,47054,21360,10401
3/28/14,23048,47804,18533,10937
3/31/14,7180,47464,15128,5992
4/1/14,46636,24924,8782,12492
4/2/14,54184,34310,12908,15989
4/3/14,45133,21569,7963,11754
4/4/14,50364,23601,9035,11681
4/7/14,47168,22740,9502,10709
4/8/14,43961,24147,10800,10387
4/9/14,46249,28412,15511,12779
4/10/14,41820,24376,11505,9355
4/11/14,49261,25977,12884,12001
4/14/14,47046,36373,14405,14130
4/15/14,38913,27956,11611,12664
4/16/14,41760,39919,16317,15791
4/17/14,44757,35140,15906,17176
4/21/14,24916,23667,7379,8678
4/22/14,27490,43376,12999,11842
4/23/14,38218,50201,11399,15922
4/24/14,29425,49896,13478,13717
4/25/14,26317,47520,8630,11309
4/28/14,20220,54734,12179,12098
4/29/14,17977,47058,13999,8962
4/30/14,6448,56713,15000,5947
5/1/14,56166,13692,7755,7329
5/2/14,53285,17657,6946,8861
5/5/14,51530,17695,6417,8844
5/6/14,50891,20257,9796,9769
5/7/14,58921,27535,11147,13637
5/8/14,49269,25422,9684,10812
5/9/14,48452,19579,7501,8473
5/12/14,43028,20710,6863,8447
5/13/14,36976,18953,7148,8146
5/14/14,42424,23589,10682,11084
5/15/14,35906,20215,8064,7846
5/16/14,45969,29261,7651,14889
5/19/14,40404,24072,7003,10708
5/20/14,34430,35982,11346,12675
5/21/14,43921,48142,13671,19874
5/22/14,29067,40725,14673,12367
5/23/14,28256,39352,11879,11572
5/27/14,23804,50906,11478,11191
5/28/14,17619,65124,18325,9170
