,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
6/10/10,43089,21989,12964,11327
6/11/10,46192,20885,12371,10887
6/14/10,38527,19177,12532,10455
6/15/10,45158,27048,12585,14831
6/16/10,42825,29923,16053,13532
6/17/10,43511,35300,20135,15250
6/18/10,31672,27459,15808,10057
6/21/10,32756,35127,16762,13238
6/22/10,28533,32126,13028,11253
6/23/10,26059,38869,14590,11027
6/24/10,22398,29764,9182,9708
6/25/10,29700,49023,23248,13953
6/28/10,20681,39717,16164,8885
6/29/10,25281,46793,17045,12067
6/30/10,8719,51311,23787,6307
7/1/10,49319,15984,7496,8391
7/2/10,35844,8286,4367,4340
7/6/10,53483,22323,10479,12176
7/7/10,41309,19935,10502,9240
7/8/10,44224,23939,10417,12508
7/9/10,37120,14451,4180,8586
7/12/10,43809,24169,7701,15552
7/13/10,45081,26936,9166,15676
7/14/10,51728,39346,12143,20992
7/15/10,39443,22021,9212,11440
7/16/10,33539,22555,8334,11646
7/19/10,32723,30417,11475,12286
7/20/10,23963,28044,10833,9713
7/21/10,27119,35169,12052,11182
7/22/10,27549,53685,17937,12706
7/23/10,27702,51891,17053,13888
7/26/10,24888,29840,11705,10380
7/27/10,29851,55464,19316,14976
7/28/10,25868,47924,18125,10576
7/29/10,20069,48893,14262,10655
7/30/10,6547,35841,11738,6268
8/2/10,55118,17991,6979,9641
8/3/10,48844,19089,6043,11060
8/4/10,59146,34882,13095,18984
8/5/10,52266,25311,9522,16195
8/6/10,59372,33844,14944,19601
8/9/10,48494,30101,12319,17640
8/10/10,61288,38157,16546,20459
8/11/10,83332,62683,28027,30257
8/12/10,63595,47988,17733,22552
8/13/10,42048,33204,10777,14330
8/16/10,36847,23978,9266,11391
